index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
88,1.3,-0.1,2.7419227992297097,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.7419227992297097,,,0.0
96,1.3,-0.1,2.619173381144556,-0.0,0.7071067811865475,-0.0,0.7071067811865476,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.619173381144556,,,0.0
104,1.3054695864036179,-0.10035619372574345,2.503073967605647,0.0009542659915117927,0.7209061111691216,0.0009377650456918433,0.6930314486746981,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.503073967605647,,,0.0
112,1.3192076559774943,-0.1012716452708655,2.39978046957166,0.0031981180074060742,0.7524102866446196,0.003160283906888687,0.6586793948486622,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.39978046957166,,,0.005623988895322896
120,1.333156455400979,-0.10218250045146285,2.2879389953476066,0.00553839038131691,0.7834713316912222,0.005464801633121222,0.6213792196340959,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.2879389953476066,,,0.07826447703875283
128,1.3473268803847573,-0.10310236790517872,2.1677371367518434,0.007970689175146385,0.8138779522203808,0.007858271105234295,0.5809280459565276,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.1677371367518434,,,0.20122316932721107
136,1.3619093953588075,-0.1040679382534173,2.0404948758869086,0.010566011142396126,0.8439938686805808,0.010428385208929376,0.5361473284649095,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,2.0404948758869086,,,0.34535476485820826
144,1.3707063889619633,-0.10386702837384718,1.9201135113652428,0.014429158403077654,0.8791006292750886,0.013888787589338548,0.4762152712536846,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.9201135113652428,,,0.42075575266931553
152,1.3756951600047786,-0.10282978150369286,1.7984507584279021,0.018941594543788933,0.9127367271210541,0.017711080684723757,0.40772441744573545,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.7984507584279021,,,0.5851642457220465
160,1.3300587415322538,-0.09593024301304638,1.700802104427937,0.02184695311153597,0.9373275725901989,0.020981345730467244,0.3471304011942,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.700802104427937,,,0.6870412986235142
