index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
100,-0.07154626635193145,0.10283651942479836,1.3945538333091327,0.17209353302473374,0.6387193439426281,0.12872561030279567,0.7388173880037857,0.005889565261051954,4.605920199873474e-05,0.0028744886696414756,0.003274916492241357,-0.006873696490402303,0.013883561858053516,-0.049180927823943704,-0.004381948666203141,-0.052812796749895384,-0.0535943140645241,0.0025926418184679372,-0.5,0.5,0,0.0,0.0,0.0,1.0,11.213900773913775,11.209700820521377,0.004199953392397286,0.0
105,-0.07867798115219797,0.13646687578323755,1.295691418299747,0.19686381486039384,0.6265485314739373,0.1451594036399321,0.7400069754004786,0.006102837135829156,4.733152449580416e-05,0.0029807028525149467,0.0034238988352865937,-0.007086122758495081,0.014389496480814718,-0.050781519942560055,-0.004430701161056646,-0.054734096975193436,-0.055255851745395636,0.002758087827264609,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.569323827411399,10.564838749045625,0.004485078365772958,0.0
110,-0.08548280139696145,0.17531833972662003,1.1952044258944674,0.22217402224210994,0.6138400626582321,0.16144032185248408,0.7401189794868569,0.006325386065658205,4.775068097551169e-05,0.0030964599852513755,0.00360636732305087,-0.007194508216966461,0.014793916642209564,-0.05186239782557592,-0.004451543806272785,-0.05608236449016124,-0.05644290069782192,0.002859877558115532,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.894344944878325,9.889653963001859,0.004690981876466599,0.0
115,-0.09198037398576657,0.21929653704515262,1.0935334295205392,0.24785087525097493,0.6008393027052406,0.1775149433121647,0.7389523129829725,0.006530606092971736,4.745978326501e-05,0.003206869855619563,0.0037959883378748437,-0.007211340113951916,0.015082878737564196,-0.05243631672377985,-0.0044528806181460346,-0.05684567194019528,-0.05717870769982152,0.0029086458598928423,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.189131339609256,9.184318573620255,0.004812765989002064,0.0
120,-0.10397551657181318,0.24399569046245798,1.0251019209807402,0.22835723630638588,0.6068733924563391,0.13931526887770754,0.7484309681009838,0.09186248409301642,-0.0012118173108091501,0.03772371535547091,0.02308682910238047,-0.0016633323433936113,0.02079448507485641,-0.050019231886760905,-0.004395199276998233,-0.056094269721372804,-0.06220469837029207,0.003493901303816664,-0.5,0.5,0,0.0,0.0,0.0,1.0,8.801468970899537,8.791278529687721,0.010190441211815313,0.0
125,-0.11702081195667503,0.23771265807127528,1.0133945872297772,0.16859769531923505,0.6231905988980694,0.05716301745272411,0.7615383667378864,0.22569923055295907,-0.003618344302162375,0.09154051074389574,0.056877796602561384,0.011704775060238289,0.030540758233028494,-0.03054084037787696,-0.004599043642291916,-0.03768424740911072,-0.06773316483367693,0.004898542314554865,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.592750200873168,9.55743845208049,0.03531174879267836,0.0
130,-0.12336210355564985,0.2343339500381678,1.0039259418795305,0.12400949906245531,0.6309425789529799,-0.0025013301817621856,0.7658504093840803,0.3202472641077719,-0.00525481357977592,0.12969423908085279,0.08134645271513663,0.022129564052828385,0.03712674215303567,-0.012661958169389287,-0.0048429792028222545,-0.020302600520002004,-0.06916008082823943,0.005539759119765922,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.807539865374617,10.740889036487705,0.06665082888691276,0.0
135,-0.1244863391120703,0.23159328433268314,0.9938592003921372,0.0866094015226334,0.639318047144453,-0.04386104231073775,0.7627892599733624,0.38941707587545304,-0.0065503204028629506,0.15862297122676455,0.09981277018630741,0.03012416946505912,0.04171697299897786,0.0018483811874815625,-0.004843007921867664,-0.0071806893666824904,-0.06453538402244773,0.004613424014162973,-0.5,0.5,0,0.0,0.0,0.0,1.0,10.672680884967765,10.575818531864472,0.09686235310329137,0.0
140,-0.12571518534195136,0.22721770390793306,0.9883850329496898,0.05445462630159929,0.6429895252053719,-0.08028082224163212,0.759706623461143,0.4369539952902743,-0.003974177063313621,0.18577821735355018,0.12135343018948039,0.03812357482003911,0.04769113168333179,0.01376414355084303,-0.004869404629666169,0.003274024586843946,-0.0657778560626286,0.004404954400142755,-0.5,0.5,0,0.0,0.0,0.0,1.0,6.727431026402105,6.603189700351519,0.12424132605058487,0.8690796417969358
145,-0.12833626493608288,0.21629863158883758,0.996039423702075,0.03564620492951993,0.6426154670372501,-0.10197771861953873,0.758534939540542,0.42849384647929206,0.006359355767011319,0.20327009269134344,0.14728232675138808,0.047336827241578006,0.05428838183169156,0.030749239434944425,-0.004940222188176055,0.01883730115213386,-0.06521573388191024,0.0036347556443707004,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.928377054884883,3.7996584025459903,0.12871865233889285,3.5680937910185206
150,-0.13019888227536303,0.20560858767866333,1.0020290175416118,0.020643771050910874,0.6417045330542883,-0.11846248468575543,0.7574666769544735,0.42247817360696605,0.01386292111756544,0.21563938193335266,0.16583115627723313,0.05430554203190677,0.058866018994904616,0.044641626726750164,-0.004996824060423936,0.0315686501615896,-0.06317797132446366,0.0027994820500715782,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.555484889156517,2.4224307295576826,0.1330541595988346,5.170760047268449
155,-0.13232633673653663,0.1943822793112097,1.0073108135068474,0.0076736037573912905,0.6401090123667695,-0.13287106912751998,0.7566682543103834,0.417474349470602,0.02017153839242455,0.22580949931965183,0.18106656166934415,0.0600173735459848,0.06262587616069103,0.05593927350390169,-0.005046065915379635,0.041772545397943124,-0.06155094509054925,0.002236787770809523,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.8975189726258772,1.7601769869416355,0.1373419856842417,5.697174112787992
