index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
320,0.07721813900180532,0.3163895255362459,0.9716826369823695,0.20994302801893494,0.1271533048145602,-0.2417010534634856,0.9387952720458372,-0.49999631390363053,1.134593318600236,0.5002538577726324,0.5974125719404202,0.10854507958602681,0.5000629717932554,-0.1545014906183055,0.5000012720917464,0.046333534554116554,0.4628321990940522
328,0.0777639823939803,0.31081383588553313,0.970013262877953,0.20798680275254916,0.1264315557487531,-0.23956540574219037,0.9398749746446609,-0.49999707175629166,1.1345514500010294,0.5002605411510637,0.5976804534348601,0.09930557830548853,0.5000612181104226,-0.15451537302153728,0.500001378155126,0.046294427539863306,0.46285853947690486
336,0.07832078794128558,0.3051708733044598,0.9684118604041018,0.2059053169919215,0.12571564367068,-0.23741519677027778,0.9409742832370358,-0.5000013094518847,1.1345117322470124,0.5002083906953092,0.5980385366785547,0.09010101248192744,0.500087094878761,-0.15599552410369033,0.5000731219808668,0.046259703292597584,0.462884147371598
344,0.07842653545167706,0.3010006822294743,0.9679229617377265,0.20368956956043652,0.12535375419421377,-0.23630995835218638,0.9417826708669516,-0.4999976903302053,1.1344762235253363,0.5001938755566376,0.5983621838766877,0.08582494500223616,0.5000832291618336,-0.15601778868126484,0.5000207396817438,0.04622852600872266,0.4629068998604138
352,0.07830026214329285,0.298234032680017,0.9675585136361687,0.20215240338191465,0.12517295782483145,-0.23567855621228062,0.9422960015716895,-0.499996740038182,1.1344314456302804,0.5001640626857177,0.5987300474263442,0.0856356038273407,0.5000894793851528,-0.1560329643234914,0.5000137472325937,0.04619817759996361,0.46293786506950463
360,0.07806250622202664,0.2968887895716692,0.9673390653713929,0.20131282366387002,0.12516308618535005,-0.23533628040399585,0.9425625623854631,-0.49999486155669337,1.134384895298347,0.5001455886616004,0.5991152067992694,0.08555770255713938,0.5000963496289488,-0.15604460979197174,0.5000138955040374,0.04617061813321141,0.4629706474730535
368,0.07793516836504341,0.29676255205317953,0.9672367282026254,0.20106079383664338,0.12524897908771515,-0.235192507326437,0.9426408302830764,-0.49997213076724845,1.1343377448332042,0.5001453878832391,0.5995401150525415,0.0854201680119703,0.5001170608164338,-0.15604467233487695,0.5000156294967912,0.04615269707125702,0.46300585391754806
376,0.07784317532159014,0.2968014634852003,0.9671492403999434,0.20088515182201308,0.1253454104019591,-0.2350524880365641,0.9427003828027397,-0.4999343327974024,1.1342958981338682,0.5001449673413034,0.599974486520904,0.08526092768755075,0.5001275226312507,-0.1560403895435439,0.500015663592174,0.04614014100394669,0.46303763600092307
384,0.07775084948794232,0.2968403488050838,0.9670616896785754,0.20070869065137423,0.12544406500894223,-0.23491154979535453,0.9427599757222344,-0.49989390348758056,1.1342553695149018,0.500145354809611,0.600410083647924,0.08510377198574817,0.5001317611515056,-0.15603641371631233,0.5000157696110034,0.04612742732163728,0.46306864091985006
392,0.07765871445414459,0.2968789522503535,0.9669746433359925,0.20053286125296602,0.12554325189805599,-0.2347707326170173,0.9428192650593372,-0.49985249846023,1.1342153921558855,0.5001456715327229,0.6008460831395341,0.08494752537567155,0.5001334759918302,-0.15603257728896125,0.5000158265039863,0.046114647824947966,0.4630993022700235
400,0.07756663374319886,0.2969174062508384,0.9668878070130992,0.20035727508857767,0.1256426687366947,-0.23462994562980496,0.9428783965737872,-0.4998107315267014,1.1341756269709669,0.5001458574467914,0.6012822897099867,0.08479160979764533,0.5001341649436897,-0.15602879975591705,0.500015853996378,0.04610184011464245,0.46312982665632657
408,0.07747454502670768,0.2969557691438608,0.9668010504088561,0.20018175411970357,0.12574220305420647,-0.23448914120675596,0.9429374350108024,-0.4997688342695502,1.1341359354672529,0.5001459643330209,0.6017186478918165,0.08463579156170775,0.5001344392089907,-0.15602504484037544,0.5000158674085496,0.04608902161040178,0.46316030115109474
416,0.07738242289758897,0.29699406493869274,0.9667143198238823,0.2000062243263572,0.125841810623823,-0.23434829965714069,0.9429964068740876,-0.4997268962234239,1.134096262311822,0.5001460316835642,0.6021551347194369,0.08447997946241378,0.5001345455676977,-0.15602129713199364,0.5000158745105231,0.04607620005229313,0.46319076110473156
424,0.07729025699179716,0.29703230346027837,0.9666275932226133,0.19983065511879267,0.12594147391928698,-0.23420741285836272,0.9430553229710461,-0.4996849524671905,1.1340565852890598,0.5001460808673392,0.602591740763306,0.08432413753684065,0.5001345838597877,-0.15601755017686164,0.5000158788810674,0.04606337877814976,0.4632212208720165
432,0.0771980430680213,0.2970704887046232,0.9665408615884443,0.19965503388455721,0.1260411859721927,-0.23406647744719528,0.9431141876881829,-0.4996430168863149,1.1340168954456773,0.5001461221049757,0.6030284622057573,0.08416825149721621,0.5001345945382303,-0.15601380129554396,0.5000158820918857,0.04605055920236154,0.4632516862833193
440,0.07710577937668076,0.29710862228062973,0.9664541212398728,0.199479355412216,0.12614094402120754,-0.23392549201194493,0.9431730027904397,-0.4996010950215705,1.1339771891624655,0.5001461599943153,0.60346529754288,0.08401231564069078,0.500134594011574,-0.1560100493809828,0.5000158848148851,0.04603774191914943,0.46328215970648795
448,0.07701346518215092,0.29714670482193095,0.9663673706766664,0.19930361752582568,0.12624074699105045,-0.2337844559392489,0.9432317689738033,-0.49955918909901054,1.1339374649723892,0.500146196532619,0.6039022462211132,0.08385632768872275,0.5001345889407731,-0.15600629397616303,0.500015887332622,0.04602492717841339,0.4633126421024045
456,0.07692110016137085,0.29718473656434363,0.9662806092889851,0.199127819291165,0.12634059448501644,-0.23364336894176033,0.9432904864987574,-0.4995173000193177,1.133897722278776,0.5001462325690157,0.6043393080762895,0.08370028673577336,0.500134582031406,-0.15600253489142435,0.5000158897626761,0.046012115086981366,0.4633431338600708
464,0.07682868415911075,0.2972227175815766,0.9661938368300391,0.19895196028099155,0.12644048638036906,-0.23350223086507524,0.9433491554484371,-0.49947542815064705,1.1338579608375288,0.5001462684595743,0.6047764831035916,0.0835441924289241,0.5001345743829381,-0.15599877204667717,0.5000158921536387,0.045999305692644925,0.4633736351359846
472,0.07673621708837791,0.2972606478813123,0.9661070532009481,0.1987760402747277,0.12654042266526389,-0.23336104160890886,0.9434077758337597,-0.4994335736464039,1.133818180547551,0.5001463043522846,0.6052137713634282,0.08338804463830256,0.5001345664423312,-0.1559950054066245,0.5000158945255,0.04598649901895336,0.46340414599209934
480,0.07664369888988855,0.29729852744433194,0.9660202583630522,0.19860005913590284,0.12664040337284746,-0.23321980109494858,0.9434663476362106,-0.49939173657314057,1.133778381365797,0.5001463403083194,0.6056511729429873,0.08323184332424606,0.5001345583913597,-0.15599123495424513,0.5000158968864604,0.045973695079536955,0.4634346664519177
488,0.07655112951557307,0.29733635624043925,0.9659334523021902,0.1984240167621834,0.12674042855457623,-0.23307850925374785,0.9435248708252548,-0.49934991696218667,1.1337385632728034,0.5001463763529056,0.6060886879405448,0.08307558848363442,0.5001345503039905,-0.15598746067996114,0.5000158992398795,0.0459608938839801,0.4634651965233042
496,0.07645850892186305,0.2973741342349378,0.965846635014157,0.1982479130650145,0.12684049826940044,-0.2329371660193862,0.9435833453654179,-0.49930811483053644,1.133698726258693,0.5001464124964629,0.606526316459067,0.0829192801281728,0.5001345422103539,-0.15598368257721823,0.5000159015871342,0.04594809544022312,0.4634957362077621
504,0.0763658370669595,0.2974118613912645,0.9657598064987832,0.19807174796133167,0.12694061257937406,-0.2327957713272947,0.9436417712191666,-0.4992663301893128,1.1336588703174866,0.5001464487433342,0.6069640586036046,0.08276291827558954,0.5001345341227527,-0.15597990064068473,0.5000159039287914,0.04593529975554248,0.4635262855042083
512,0.07627311390972022,0.2974495376720603,0.9656729667575253,0.1978955213701841,0.127040771547872,-0.23265432511336895,0.9437001483480795,-0.49922456304720086,1.1336189954447917,0.5001464850953745,0.6074019144802307,0.08260650294606682,0.5001345260462376,-0.15597611486551793,0.5000159062650871,0.04592250683695029,0.4635568444105088
520,0.07618033940920722,0.29748716303960543,0.9655861157924853,0.1977192332113621,0.12714097523886636,-0.2325128273136086,0.9437584767133237,-0.4991828134118417,1.1335791016368637,0.5001465215534224,0.6078398841956084,0.08245003416079244,0.5001345179829108,-0.15597232524706536,0.5000159085961225,0.04590971669135711,0.4635874129241031
528,0.07608751352450194,0.29752473745599617,0.9654992536060123,0.1975428834048364,0.12724122371663205,-0.23237127786397022,0.9438167562758476,-0.4991410812903981,1.133539188890222,0.5001465581179017,0.6082779678568152,0.08229351194137192,0.5001345099336735,-0.1559685317807432,0.500015910921944,0.045896929325638186,0.46361799104225865
536,0.07599463621463017,0.2975622608832166,0.9654123802005391,0.1973664718705317,0.12734151704562713,-0.2322296767003073,0.9438749869964601,-0.4990993666897861,1.133499257201495,0.5001465947890671,0.6087161655712708,0.08213693630958782,0.5001345018989392,-0.15596473446198703,0.5000159132425753,0.04588414474666021,0.4636485787621738
544,0.07590170743853156,0.29759973328316713,0.9653254955785178,0.19718999852823316,0.12744185529044416,-0.23208802375834514,0.9439331688358613,-0.4990576696167669,1.1334593065673586,0.5001466315671054,0.6091544774467104,0.08198030728730464,0.5001344938789232,-0.1559609332862314,0.5000159155580313,0.04587136296129241,0.46367917608102066
