index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w
2400,-0.03447190025545252,-1.3333136545750857,1.2631205919922457,-0.2607169323309774,-0.0435274613858573,-0.02400827247202948,0.9641346607990691,0.5000780675808381,0.17897091525994488,-0.03248108156886462,-0.008979533843658748,-0.06062991078912277,-0.06264781619315658,0.11122649959043532,0.1500019871611665,0.09938790775457196,0,5.75990000000056,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2500,-0.03511226421650306,-1.3345326065315521,1.2641606886716839,-0.2616916277702201,-0.04356588524530643,-0.024242604005475978,0.9638629579711003,0.5000435855152536,0.1810043954210205,-0.03240322707390337,-0.00905543040748373,-0.06052733769378107,-0.06279633479983021,0.11657292316604938,0.1499986364093019,0.09941018894919618,0,5.749900000000583,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2600,-0.03513941426884561,-1.334965277447647,1.2645245001880936,-0.26204067330531083,-0.04360483104781377,-0.024278788284426304,0.9637654510732531,0.5000498229969356,0.18171930804758293,-0.032370226359617005,-0.009061508818624282,-0.06053538923711117,-0.06283702520899864,0.12197078308819767,0.1499849724575508,0.09941067806164357,0,5.739900000000606,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2700,-0.035192818892004055,-1.3357789140180698,1.2651893238750878,-0.2626865604419217,-0.04368830355397505,-0.024352637760731034,0.9635839621589096,0.5000703549130503,0.1830257517828745,-0.03228760662701983,-0.009076620323022342,-0.06056044575908375,-0.0629210414913315,0.127279865575559,0.1499677519661704,0.09941074474026804,0,5.7299000000006295,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2800,-0.035326207071898735,-1.336877796223302,1.2659855757449374,-0.2635263197690409,-0.043960307627204286,-0.02450808400039151,0.9633383226888342,0.5000961760074891,0.18470736710029673,-0.03205249288986905,-0.009101989317618199,-0.0606653541383845,-0.06314859543271366,0.13258542725125208,0.149929256480076,0.09941675625113142,0,5.719900000000653,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
2900,-0.0355011515561762,-1.3381898607681058,1.2669677263499812,-0.26453750510767043,-0.04423886396355917,-0.02469290534213825,0.9630436603458782,0.5001113459788831,0.18675228844484948,-0.03180404582540986,-0.009130343006380054,-0.06077317472930089,-0.06338989111451061,0.13787609935169562,0.14986744152128104,0.09943115215282548,0,5.709900000000676,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3000,-0.03648744618088304,-1.3408534823734,1.2699531463217486,-0.2669350960302597,-0.043215483671849575,-0.024924680747661555,0.9624223796067667,0.500095049680918,0.19200262326462075,-0.03284982861675075,-0.009082625445622257,-0.060053316174122295,-0.06295615654967372,0.1442026489149069,0.14906234602107074,0.09944415573870173,0,5.699900000000699,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3100,-0.037221699023047755,-1.341858566608698,1.2719786076374238,-0.268166625999012,-0.041414644622085765,-0.024878222682083072,0.9621603618666241,0.5000805071733729,0.1947474676599378,-0.03417722218579066,-0.009329138433718132,-0.05871025648272507,-0.06131424028944633,0.14600488798751438,0.14893952691725734,0.09945713138554665,0,5.689900000000723,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3200,-0.03874767955221907,-1.343209980433215,1.2719115206156457,-0.26883823336174556,-0.043248443117389984,-0.02577032991815353,0.9618687366510916,0.5000823239165135,0.19637138065961232,-0.0335875656528766,-0.009398734039370995,-0.05875161525660377,-0.06134144196841822,0.14933797542128094,0.1488473717719562,0.09949490296932394,0,5.679900000000746,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3300,-0.04013641062298517,-1.3444677839501662,1.2719058937951453,-0.26947747006800543,-0.044867173468666435,-0.026565278196204942,0.9615940494122445,0.500066900148892,0.19790195720184303,-0.03303355298479772,-0.009469851869489933,-0.058799052419279615,-0.06137483330820197,0.15314323452501163,0.14877699395827387,0.09952452620386562,0,5.669900000000769,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3400,-0.04157985036447309,-1.3457949945928205,1.271850408229018,-0.2701331418712842,-0.04662344471012575,-0.027385718589794338,0.9613034705458163,0.5000811813801944,0.19941885909995413,-0.032367728396121606,-0.00936918438675949,-0.05926960400727985,-0.06131775604723981,0.1570532530724725,0.14872350540916796,0.09955719232927604,0,5.659900000000793,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3500,-0.043048558969745715,-1.3472885705493354,1.2718698988184727,-0.2708932809964881,-0.0484873212038093,-0.02823815540087268,0.960972640907634,0.500075484296487,0.20110904107017863,-0.03149561264748595,-0.009114665101068342,-0.060265613451647056,-0.06116126035294186,0.16110336493258537,0.1486639116274082,0.09960301366227016,0,5.649900000000816,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3600,-0.044659191216351195,-1.3487355455222028,1.2719139931570915,-0.27165115178071275,-0.05023328213663837,-0.029141425428429554,0.9606419970134515,0.500089687240922,0.202518367201611,-0.03023282311409951,-0.009009954316692319,-0.06126531663334784,-0.061122210498454045,0.16568498389453898,0.14796020414272426,0.0996415341576074,0,5.639900000000839,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3700,-0.046241646952751736,-1.3502200470908674,1.2719875953040738,-0.2724426251388142,-0.05199380640334572,-0.030050313264058347,0.9602961203586605,0.5000966850213189,0.20407030518797634,-0.029065168212160836,-0.008891609666567801,-0.06224354059750575,-0.06104201791651506,0.17040691969251706,0.14712386427619278,0.09968337236698623,0,5.6299000000008625,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3800,-0.047599632434765636,-1.351511947864258,1.2721773726024923,-0.27317346881943266,-0.05333811992461651,-0.03080607169276672,0.9599907743530277,0.500078955630318,0.205632607252117,-0.028351693882830944,-0.008706783941512575,-0.06300502481489538,-0.060878760540493355,0.17484649334208524,0.1470181165143336,0.09973760086929344,0,5.619900000000886,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
3900,-0.04892996153348033,-1.3527657814885197,1.27237495824219,-0.27389009439683615,-0.0546076257089099,-0.03153966985227511,0.9596913423759419,0.5000762176377871,0.2071376762130242,-0.02765535128481022,-0.00853868397313774,-0.0637291061341093,-0.06074118314701509,0.17942865110336867,0.1464374008823197,0.09978709483532211,0,5.609900000000909,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4000,-0.05020798194537664,-1.3540365987390883,1.272624254347716,-0.2746355080972604,-0.05581951740163216,-0.032251166274803456,0.9593848974437338,0.5000814679163561,0.20866943697129708,-0.026939128507733452,-0.008402033261839949,-0.06441948388377013,-0.060666542057854225,0.18463749766971857,0.14480778782909787,0.0998230434343749,0,5.5999000000009325,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4100,-0.05141394857666839,-1.3552753166380567,1.2728970157803776,-0.27537148941878886,-0.05695692983555647,-0.03292747465782349,0.95908405907493,0.5000798841655504,0.21019775496255338,-0.0262835703446558,-0.008261417881238069,-0.06506998914735505,-0.06061412066011826,0.19011709471286375,0.14279434434502342,0.09985259396047373,0,5.589900000000956,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4200,-0.052627666226313305,-1.3563317234809054,1.2730235947118207,-0.2759637110564063,-0.05808201323694934,-0.03359970958333891,0.9588230125702211,0.5000536516378823,0.21148033019234388,-0.025692742279162822,-0.008099242478055152,-0.06570792359064999,-0.06057525751571876,0.19633956362854912,0.13865285422956797,0.09987500257346105,0,5.579900000000979,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4300,-0.05375278670285199,-1.3573805686854596,1.2732756563718663,-0.2766038240285984,-0.058984029560598894,-0.03420109150319926,0.958562201492183,0.5000852586015393,0.2127575030781329,-0.02513604000192444,-0.007997006407019332,-0.06633413743339017,-0.058712514523400094,0.20000302260874728,0.13416690193355638,0.09989383507174751,0,5.569900000001002,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4400,-0.05485749850694222,-1.3585619857421565,1.2736283941823847,-0.27733970593729096,-0.059925346221827075,-0.034814347175689146,0.9582690653577114,0.5000800059316971,0.2142593032303944,-0.0245273329264132,-0.007910503849075639,-0.06709344040058929,-0.05479905920093052,0.20000160158471064,0.1311853318762545,0.09992268921470406,0,5.559900000001026,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4500,-0.05601936515032432,-1.359689897431498,1.2739119089050894,-0.2780297377065842,-0.06090289402506343,-0.03546620971781019,0.9579835334797943,0.5000657075030158,0.21568162647845565,-0.023917446035923808,-0.007803438629115342,-0.06788467797720554,-0.050923401626338544,0.20000103163219513,0.1287999306426499,0.09994848076990283,0,5.549900000001049,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4600,-0.05696410635317256,-1.3606065324349226,1.2741690893913653,-0.2785997687932994,-0.06164585264210111,-0.035987047417228406,0.9577509541099599,0.5000606041054305,0.21685747631928579,-0.023463674966041556,-0.007715004546027362,-0.06857948493999672,-0.046571538237415874,0.20000198911065173,0.12358690948881028,0.09996201044797311,0,5.539900000001072,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4700,-0.057768435943349676,-1.3612954096181444,1.274385830765381,-0.27904255002122835,-0.06217435764217957,-0.036422555956397554,0.9575714082756626,0.500043320114928,0.21776692187007002,-0.023110711646837638,-0.007658146487178042,-0.06919807682348071,-0.04173659859028816,0.20000130655033185,0.11607351629157826,0.0999712795022805,0,5.529900000001096,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
4800,-0.058400721688836504,-1.3617144347920263,1.2745396255636572,-0.27933202166592913,-0.06245986069801695,-0.03675781007424523,0.957455613003629,0.5000319442232671,0.21834968789893142,-0.022895806952443372,-0.00762213693522575,-0.0697394099827142,-0.036425693855285005,0.20004135282569763,0.10519723547245959,0.09996009771193674,0,5.519900000001119,1.75,-3.9799747470500266e-05,-0.04997915342387482,0.9987499437230536,0.0007953315097043137
