index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos
168,0.7,-0.9,1.476288098812089,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,7.123556921741918e-19,1.8786851094606027e-17,-1.1555579666323421e-34,-3.722258866007604e-18,1.6193963651312052e-17,1.0104867742735823e-17,2.1078927693758747e-17,-3.7862073514619557e-19,6.400767465324654e-19
176,0.7,-0.9,1.2587766554016255,-0.09634363969349324,0.2278741366312202,0.3773122691048194,0.892427438242549,6.107363550675858e-19,1.9957920034884486e-17,-7.70371977754895e-35,-3.520565404881219e-18,1.747166255605466e-17,1.105846653187471e-17,2.1916148416966306e-17,-4.1386848589211903e-19,7.447756305695651e-19
184,0.6968505360617038,-0.9014416871287505,1.0340324643693868,-0.08516192555786742,0.20347695451966286,0.3812075915178848,0.8977891442782169,2.7597490053720747e-06,-3.256803281408599e-09,0.0022714043007174035,0.024412554623522965,0.09493338164743775,-0.24733899151762728,0.09853338880294514,0.02119355031857183,1.3863175226038449e-07
192,0.6881243174907042,-0.9022181533745873,0.8008297024936363,-0.04552150002382911,0.12116428625939804,0.3909832250393836,0.911251406862362,7.665226673827888e-06,1.639461740706891e-06,0.024865468063042108,0.15159411140105866,-0.02164407870977319,-0.2578864068104446,-0.13868419529968334,0.16221235548213794,0.019514377571942687
200,0.6707155286518534,-0.8876023741330282,0.5945241146058362,-0.08893313050082564,-0.025577220917432725,0.3968709494049322,0.9131977625837088,0.21691954856084877,0.0017359219080103662,0.09501731686387843,0.2557303068055868,-0.20341546588272208,-0.25788850769643695,-0.20277485514141494,-0.06590879542641345,0.10130833935314319
208,0.5777033895406021,-0.8175947780570769,0.5248797992533457,-0.32853374236751576,-0.22209706018812903,0.33563369810251276,0.8544521617269258,0.55565805599901,0.4252104899820112,0.2632223801120178,0.046195018954888874,-0.2542762938045997,-0.2916112745202224,-0.25368125633192173,-0.20175380248530533,-0.1028996103945633
216,0.5350043946050556,-0.7787706846403583,0.3400242618742612,-0.2800978756921989,-0.2511413727514553,0.3126340569949816,0.8722001704494735,0.5557883720893246,0.44761419520200096,0.4130101670757102,-0.15172407277524674,-0.2507141264929667,-0.30606984300169165,-0.2537640184488485,-0.20251231196661837,-0.1004336067109088
224,0.5134263534780638,-0.7322117697292676,0.12542932127176581,-0.19854931749872254,-0.24239860321634005,0.3105699895884726,0.8974226246571761,0.5557885792167259,0.44348631307090053,0.40015343211278515,-0.2557111347592711,-0.2501444052924035,-0.30611151185623137,-0.2537642505349872,-0.20260263781213772,-0.10006873062562777
232,0.4948157717811114,-0.6672991825346404,-0.007012471126818623,-0.17455573929577842,-0.2251885066053565,0.31839878313211484,0.9041253482077262,0.5736247942556387,0.4434743632386761,0.3769694413287772,-0.23824714663807675,-0.2501886711505039,-0.3072744391453327,-0.25377346353187263,-0.2037536709942215,-0.09975380464286587
240,0.47474094258095656,-0.5977025331689795,-0.1168486499164011,-0.16244922639767384,-0.2051788435527639,0.3313940251569716,0.9064711198330635,0.5739879601287132,0.4441870331931134,0.3770536799718753,-0.20346279566080078,-0.25024818987168873,-0.3068273664978405,-0.25377364810037917,-0.20376131269042985,-0.09975156887852299
248,0.4511491834258686,-0.5379852848739276,-0.20244838581617797,-0.16820216667224014,-0.183049236516512,0.3483481305183672,0.9038000819328601,0.574016806876066,0.4441827980608102,0.3770786820356896,-0.13515648789307955,-0.2453542692395313,-0.3062750567242538,-0.253772031934926,-0.20380457696465162,-0.0997400038287674
256,0.4267070456629329,-0.4748634264404853,-0.29767929463711823,-0.17214719203112128,-0.16148034507935552,0.3672564020889209,0.8996733727045351,0.5740137194105731,0.44417832790198736,0.37707612678328506,-0.08126953944316033,-0.2297789625836488,-0.30358713395000825,-0.25377114829882763,-0.20380269142707644,-0.09973959918828507
264,0.40141537748249917,-0.4085814962974765,-0.40282311394138093,-0.1741553085027047,-0.1405118931167818,0.38788611148410757,0.8941312548674296,0.5740121303319368,0.44417832790198736,0.3770750704598697,-0.04153235491040351,-0.20481735491935063,-0.29819559981142296,-0.2537711481848961,-0.20379644500041894,-0.09974058245441522
272,0.40848424369498254,-0.37197753852047866,-0.4372263866179798,-0.1374858680027251,-0.09061038902350566,0.4243973610094713,0.8903787247395024,0.4086406106483584,0.41622250527921345,0.3769375636390749,0.1709786982112394,-0.2574071068751549,-0.3076777579288433,-0.25377301434394495,-0.19926524266191042,-0.09982455498543752
280,0.4311552755310529,-0.35898572007725577,-0.44783153114027374,-0.12055273137162345,-0.06295737210452079,0.44466811772670656,0.885309930664918,0.3725402066292403,0.3565137428307626,0.3769619652458622,0.2533076883350008,-0.23094527531782172,-0.31167302257027996,-0.2537656683226836,-0.1994297603046707,-0.09928234321538937
288,0.44954889068207055,-0.3527723645033524,-0.44889815442887643,-0.11536283072928394,-0.05158909239723506,0.45508166780734916,0.8814367013333615,0.3537095010126164,0.3504371395335216,0.3769681880919831,0.250556918369716,-0.1710949942354985,-0.311673395984184,-0.24662839282913082,-0.19924691737448735,-0.099282188089174
296,0.46517643543276876,-0.3498151058201416,-0.4476263969588021,-0.11500756256731755,-0.04810463773240781,0.4609891118135683,0.8786058520009389,0.3476897837766327,0.3465708570392006,0.3771373517186011,0.2500961404169815,-0.11727957229085716,-0.31167944667609027,-0.24264971362839824,-0.19924565016105514,-0.09928110817430291
304,0.4797897672426652,-0.3481161726746389,-0.44595059150279426,-0.11729296551027696,-0.048379120399044434,0.464995843482331,0.8761738905579047,0.3510938959806493,0.337703467192364,0.37718312606557824,0.25001700419532896,-0.06104347072150781,-0.3116837781857408,-0.2426480106880965,-0.1992475244956266,-0.09928018032471214
312,0.4921499373196258,-0.34723456772119055,-0.4422489337683711,-0.1254506910328152,-0.053950763915260325,0.46680941759054834,0.8737507692935795,0.37102043304505605,0.3249511586865479,0.377188503105308,0.2500071229257398,-0.004834317585156472,-0.3116835189452404,-0.2426488606244088,-0.19924773055091638,-0.09928047491314602
320,0.5023597613886169,-0.34905186603530264,-0.44013414344084284,-0.13103814785418763,-0.0603739069414308,0.46641310255219226,0.8727214979219945,0.38727109443813257,0.3086005650718212,0.37719080376751696,0.250004749989982,0.05298464730082536,-0.31168321699239004,-0.24265069770776704,-0.19924791105868217,-0.09928110039214538
328,0.5110392915125013,-0.35237310575836095,-0.4386172292843948,-0.13819496522791508,-0.06989004181001773,0.46372743856211696,0.8723384643394256,0.4118246348362126,0.286246664873798,0.37719542400620515,0.2500021227979094,0.11250017341249775,-0.3116844403111707,-0.24265165583602555,-0.1992487580578804,-0.09928147614658042
336,0.5174317665469557,-0.3561517062637046,-0.4334449487081199,-0.15020760011893575,-0.0841475291994655,0.4583976586366131,0.8719108077966496,0.4443101133058331,0.2664467441991785,0.37720130468901175,0.2500014088429954,0.1731543407608894,-0.31168643545055524,-0.24265204826660416,-0.19925004399166582,-0.0992817077910188
344,0.5233501733686564,-0.36179792073405015,-0.42855183196291524,-0.15722616941553266,-0.09760877893733766,0.451443702357043,0.8728980705256747,0.46008841013209534,0.25068818747096533,0.3772072944928601,0.2500017334948006,0.23542120601245012,-0.31168860642610186,-0.24265241289152117,-0.19925141726512047,-0.09928196000599383
352,0.528682147460742,-0.369341814607257,-0.4204277857376603,-0.17156803090253178,-0.11689757840771949,0.441280741638043,0.8730238679406296,0.49274406408426114,0.24061907963471682,0.37727045168287243,0.25006810631963283,0.2503249978438628,-0.26415785490212706,-0.242656862492202,-0.19926844945051145,-0.09928097979947563
360,0.5385833368458404,-0.3730277749131111,-0.40938203423471203,-0.18112679596831074,-0.13549799317774122,0.4315205178914305,0.8732831272077632,0.5004951376657129,0.24897015120313146,0.3772939157125893,0.25004888465621816,0.25096041015312254,-0.21230107665097694,-0.23960690998255987,-0.1992770332775011,-0.09927551754353493
368,0.5520426164610677,-0.37457390605047985,-0.39843823734296435,-0.188723646790901,-0.15133330432492603,0.4230384409463006,0.8732239653294943,0.5001976526439254,0.28073657397134233,0.37740843942674135,0.25000880070877174,0.23055170552925974,-0.20210587571632335,-0.19597201994564128,-0.1990006834414597,-0.10000857512926996
376,0.5650528496881642,-0.3748941508309131,-0.3892797942131697,-0.19526562629404526,-0.1647886276124788,0.4159350204575891,0.8727623400184812,0.5000753606091768,0.30302012585401666,0.37741555230421714,0.2500012712918301,0.23783823480186755,-0.20035682550585462,-0.18714094129806527,-0.19680735879237576,-0.10000112910359045
384,0.5807527887571338,-0.3731580858251942,-0.3812956834189264,-0.20101514125250544,-0.17409771139503852,0.4128256722947751,0.8711244825905263,0.5000433508661974,0.3176757167636409,0.3774593132284216,0.2500474235407717,0.2507746989116601,-0.19476131448126355,-0.19785001560960577,-0.19677362788086514,-0.09999717707156837
392,0.5980569888751618,-0.37099728640465274,-0.3733729913862675,-0.20673600059093497,-0.18162922223563693,0.41159419426844646,0.8688275265748956,0.5000329714684891,0.3315641912364149,0.3774485544415111,0.2501602856828631,0.25014110893422037,-0.18552057439666375,-0.20005253785202365,-0.19681521045877953,-0.0999777521616052
400,0.6161510255727118,-0.36821756844279163,-0.3657831664180608,-0.21215842863465917,-0.18779324647910325,0.41182517758668447,0.8660961383367362,0.5000265388683282,0.3420932009197251,0.37750599606461327,0.2500856999012552,0.2500292322246717,-0.18173392620653808,-0.2000076180170665,-0.19685204925607877,-0.09996165779409683
408,0.6353420327745364,-0.3645755014773375,-0.3585864796359269,-0.21719488264311992,-0.19240688665780886,0.4137901527615519,0.8628926250686478,0.5000280632493278,0.3486829007120213,0.3775730387234823,0.2500868434538316,0.2500106190431288,-0.18114634011495742,-0.20000209804888672,-0.1968506471634164,-0.09994796492479179
416,0.6562644268857287,-0.35980018554448173,-0.3518457011420443,-0.2217689947237768,-0.19502715258678843,0.4180032810174619,0.8591019612314547,0.5000407473500127,0.3500926482032322,0.37764110527068434,0.2500634016443705,0.2500052429951771,-0.18103778336753887,-0.2000046460457389,-0.1968459691893331,-0.09993732597751726
424,0.6791799349514083,-0.35410744036669006,-0.34541178041947146,-0.22601584028727786,-0.19575242778784144,0.42436275944447904,0.8547011614307476,0.5000234731142513,0.3466091167267944,0.3776830463091329,0.2500308818949134,0.25000186230924604,-0.1809948395371778,-0.20000082470215652,-0.19684650773110451,-0.09993235067875067
432,0.7043329361493371,-0.3473638766635542,-0.3394993395523334,-0.22985308463389187,-0.1944335532678135,0.43279170703474457,0.8497378955712692,0.500028768202937,0.33958982328087456,0.3777553571455209,0.2500489890911687,0.25000676566249025,-0.18506010199459066,-0.20000276844653234,-0.19685519998902284,-0.09992454791004578
440,0.7303710522549882,-0.3407846726514603,-0.33372898389653977,-0.23369901746208505,-0.19278887898875413,0.44094562202977317,0.8448574884489644,0.5000210749164562,0.3361444485804092,0.3777990937598519,0.25002474081375003,0.2500043815308113,-0.2019245017533232,-0.20000237534510243,-0.19686483218979717,-0.09992071795316036
448,0.7569186873070044,-0.3357980019202736,-0.3270094819698978,-0.2384311125465031,-0.19243811203156425,0.44731623069716,0.8402537517693385,0.50002226807071,0.3410640716031338,0.37785923776109015,0.2500080593466929,0.22971076863463258,-0.20039319318706228,-0.20000609611621836,-0.19702821115389632,-0.09987985012322671
456,0.779827504434705,-0.3336307900116892,-0.31872689836731555,-0.24435397872113426,-0.19663682019467277,0.4491964194119862,0.8365689874806085,0.5000152839769907,0.35494440279039297,0.3778711778099394,0.25001636198059735,0.20971958116970876,-0.20011382246993448,-0.20000971382349728,-0.19705084671656123,-0.09983770142446433
464,0.7997379546282132,-0.33335382023603294,-0.3092319441185995,-0.2511189511793362,-0.20450345166750067,0.44760554707576705,0.8335267751198349,0.5000116894295937,0.3727577569252746,0.3778861978569396,0.2500100475644431,0.19415809501459372,-0.20004793164854423,-0.20000688310144452,-0.19707348550824536,-0.09982022925659012
472,0.8113202878773517,-0.3350935468524482,-0.3004943146189235,-0.2574939140909658,-0.21701092924486326,0.43987350461752767,0.8325349486537422,0.5000212008682047,0.3997044751026745,0.3779475691179892,0.25001562472371575,0.17795178482839186,-0.20009466981250362,-0.20003022354958946,-0.1972052359079792,-0.0997704825510811
480,0.8185752617140568,-0.3351627752651832,-0.2917889352526279,-0.25900087646567543,-0.2264817648902478,0.4327376310825203,0.8332842845075736,0.5031357351883197,0.40056437601758127,0.38345601284464337,0.2510755352891317,0.18160086614232532,-0.20068590794748972,-0.20021524906896643,-0.19823446434678246,-0.09942784577037816
488,0.823992746530226,-0.33398913265331803,-0.28565413816636653,-0.2591482130348532,-0.23262986781290793,0.428121710680846,0.8339288633486056,0.5014729823761062,0.4000882642457592,0.3852378426549238,0.2500798719532159,0.2006914442658514,-0.20034402541186638,-0.20010849067922412,-0.19859350000215764,-0.0993111361162029
496,0.8296768274752179,-0.3306001805385452,-0.2847283228251266,-0.26102376181614584,-0.23682553413419344,0.42606188436408265,0.8332175783320519,0.501009590922099,0.4000098531550427,0.3865777474369147,0.2502546405522157,0.22194838225177704,-0.20022303607453704,-0.20007850254058557,-0.19885656321510373,-0.09922615695730837
504,0.8356845406194356,-0.32476476429640155,-0.28887332639173546,-0.2643448078426451,-0.23872954059127058,0.4268204820376567,0.8312366119997713,0.5006155705718087,0.3998774944008891,0.3875638887123183,0.2502759018286867,0.2472368858983472,-0.20017680297466395,-0.20006996623637857,-0.1990731217667383,-0.09915563605648774
512,0.8439171662658748,-0.32212793795182754,-0.28570210650117694,-0.26654814753004463,-0.23979908438309422,0.4279724786567645,0.8296312685101234,0.5001961097983068,0.3980907953975288,0.38775935929872685,0.25011036895623473,0.2504171145030008,-0.17402676233025383,-0.200042051454733,-0.19914164992148933,-0.09912409131967513
520,0.8517077155061383,-0.3203250730650016,-0.2822142148123694,-0.26909134784576777,-0.24140369689253738,0.4285180470623527,0.8280618243724507,0.5001229085356844,0.39859414118110004,0.3878217220957076,0.250151483539762,0.25008189388047225,-0.15028060673365695,-0.20003403502532188,-0.19918015116758242,-0.09909024128611683
528,0.8589637337471939,-0.31894007592212625,-0.27871488748290457,-0.27163346995805143,-0.2432669902986162,0.42866825272480463,0.8266074996849861,0.5000628610780139,0.4000310176490231,0.3878957714676695,0.25007455385775035,0.2500203961552828,-0.13140120516314693,-0.2000203381783735,-0.1992037479155525,-0.0990756823846331
536,0.8656174931148972,-0.3173974733872058,-0.2758049202923014,-0.2739104809241683,-0.24504461326748855,0.4287314084893747,0.8252972587638921,0.5007552858249416,0.40022398269416315,0.38877740149567985,0.2500896184537131,0.2500184494491868,-0.11676515297203877,-0.20006010264660795,-0.19924038350850257,-0.09905346602215143
544,0.8716240403169064,-0.31555618086746917,-0.2734375814908249,-0.27563060130097505,-0.2464080008686014,0.42899228644243115,0.8241823141194534,0.5009262861242021,0.4002396750961869,0.3896650112784192,0.25008509051142697,0.25002108774335324,-0.10544872685947648,-0.20006949716096664,-0.19929399972784242,-0.0990228933433951
552,0.8757988628968323,-0.31426197259999117,-0.27157343338407053,-0.2769212301376968,-0.2482428470518568,0.4284120567418317,0.8235005955218532,0.5013071946535714,0.40060710873108335,0.3911220485949756,0.25015486429802947,0.25003132331876277,-0.09832573420403941,-0.20009486103539054,-0.19937105899907723,-0.09898581684666855
560,0.8781693850199304,-0.3133157314191626,-0.2704968152496631,-0.27749417474107474,-0.24962629888556004,0.42773921226668016,0.8232392484441852,0.5011802028181384,0.4006793050202241,0.39266124824372217,0.25016681496076626,0.2500382650558402,-0.09350468526169314,-0.2000928183014627,-0.19946433092307067,-0.098937997412762
568,0.8794987436428127,-0.3128683794747214,-0.269818543399409,-0.27785954348983855,-0.25048014646031536,0.427284475280851,0.823092793981824,0.5010773969011442,0.4005449692631959,0.39392794588700863,0.250142317018357,0.2500348423000302,-0.09054116512842304,-0.20007411874696907,-0.1995448969263069,-0.0989001492686322
576,0.8801520960465683,-0.31273018555257776,-0.26943034747347194,-0.2780766777374955,-0.25091411674377023,0.4270401754839882,0.8230140678261674,0.5009915274629082,0.40031842544894053,0.39493273513164484,0.2501456662959096,0.25002544735235516,-0.0895876628549626,-0.20007483717459648,-0.19960543733589217,-0.09885652398455061
584,0.8804501441654157,-0.31270875241381385,-0.26921231275813456,-0.27819285496229107,-0.251137136358858,0.42690415120337843,0.8229773507665477,0.500902759745539,0.40008196292798354,0.3957290589225393,0.25011795582753676,0.25002146717718327,-0.08938988844670805,-0.2000637472499545,-0.19965298090140915,-0.09881386197362663
592,0.8806644297148246,-0.31271958321883353,-0.26900159895060044,-0.2782719192781611,-0.25132432424132745,0.4267809319460904,0.8229573859642523,0.500682904220389,0.4000702740647953,0.39631762435931983,0.25010041906654124,0.2500186454937031,-0.08925322200734,-0.20005294316255987,-0.19969431254444328,-0.09877925424076807
600,0.880908207521662,-0.3127409677555846,-0.26878336636345423,-0.2783940447235641,-0.25156123655155416,0.4266218671851235,0.822926170787262,0.5006108233319027,0.4000664932054024,0.3968575561532724,0.2500953364618819,0.2500168040169923,-0.089124617781091,-0.20004855532083432,-0.19972998874122683,-0.09874852830905793
608,0.8811703360774543,-0.3127625581443823,-0.2685602306668034,-0.2785380038865174,-0.25183158489420293,0.42643771724884855,0.82289021536787,0.5006171667248527,0.40003804143274113,0.3974117344676591,0.2500968352987198,0.2500161487252134,-0.08898276953181981,-0.20004987738975197,-0.19976641586607763,-0.09871924863748982
616,0.8814366794168478,-0.31278689042955266,-0.268328706909701,-0.2786858905570054,-0.25211807361088523,0.4262395481472038,0.8228550898903481,0.5006208528997536,0.4000456096941489,0.39795743140956086,0.2500942287110457,0.2500152246227713,-0.08883544471092955,-0.20004851091166437,-0.19980197022760135,-0.09869053026938752
624,0.8817004661741775,-0.3128126129338278,-0.2680964774653323,-0.2788348976090408,-0.25241347814446125,0.4260324860842404,0.8228212787278005,0.5006307403836939,0.4000513801229948,0.3985123631930174,0.2500935782882623,0.2500148387687472,-0.0886845713567664,-0.2000481455860833,-0.19983675209479,-0.09866194661126329
632,0.8819578536498414,-0.3128391666887664,-0.26786612478167926,-0.2789817267994409,-0.2527120401778687,0.42582082247755226,0.8227894311460754,0.5006399907111966,0.40005382979422005,0.399074332873832,0.25009379060640763,0.25001473883795594,-0.08853123168785434,-0.20004827565244712,-0.19987139562947726,-0.09863325530895889
640,0.8822088148975509,-0.3128662604779258,-0.2676380065885721,-0.2791257781788737,-0.2530115006880525,0.4256066255853958,0.8227593698849199,0.500646343279308,0.4000545595972329,0.399640322532664,0.25009414344067127,0.2500147284091857,-0.08837633462412135,-0.20004849214511236,-0.19990613480883934,-0.09860440028267811
648,0.8824549440878693,-0.3128937793870392,-0.26741151321625967,-0.27926778730247653,-0.2533117494531373,0.42539039297203834,0.8227306206354936,0.5006504295859335,0.4000549653160398,0.4002086849343711,0.2500944105371766,0.25001471051621826,-0.08822020730987724,-0.20004863411809345,-0.19994096872999104,-0.09857540375552867
656,0.8826976769823762,-0.3129217095376143,-0.2671859998166398,-0.2794086008441573,-0.25361337497437797,0.42517193488108235,0.8227028112252277,0.5006535413992845,0.40005566784451124,0.40077901708320385,0.2500945732143461,0.25001466009942924,-0.08806282243270591,-0.20004868844742127,-0.199975827549642,-0.09854629854260237
