index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
175,0.0005097602376769836,1.4975008405096286,3.0702653793429,0.08236602618766733,0.010534022042605631,0.0010107094168432936,0.9965459600922243,0.0004886306517256579,0.0037024563519766733,-0.00057011940531209,0.003569058269114416,-0.00038638382276788623,-0.053015820048295574,-0.0011590724268447103,0.021118807092730483,0.0010726275287164945,-0.015281208939537721,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1407999999999996,0,0
182,0.0005076414201385568,1.497371959726106,3.0702888421943713,0.08514619297753873,0.010531642749205844,0.0010372956415530257,0.9963122674845406,0.0004878339264443492,0.003247762027237954,-0.0005730591452968708,0.003576752542289296,-0.00037836222459756763,-0.05301928807231271,-0.001162710619171392,0.021102245353279467,0.0010730420610587485,-0.015294017409601757,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.14639999999999956,0,0
189,0.0005068171963909276,1.4972423765727527,3.0703126650366146,0.08791240725293314,0.010534600208175647,0.0010643967276355638,0.9960719341036843,0.000496170091759117,0.0031311480700031056,-0.0005777881894313345,0.003612428304554056,-0.00035687148637131587,-0.05302505666331288,-0.0011730287711039615,0.02106291798765021,0.0010824761619300195,-0.015346921451544095,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.15199999999999952,0,0
196,0.0005051772631407165,1.497099490031925,3.0703353124423667,0.09068183965573658,0.010535207457681573,0.001091731250359418,0.9958235895395087,0.0004971338746164233,0.0030970336736052284,-0.0005736475527984712,0.0036374169504754046,-0.000348323336961044,-0.05302984858910525,-0.0011791984401848287,0.02102750535077475,0.0010868923051197247,-0.015387758274156971,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1575999999999995,0,0
203,0.0005036325837315891,1.4969544055883905,3.07035841582618,0.09345649687739152,0.010533540772832684,0.0011193722641057815,0.9955670116651755,0.000498005986279105,0.003075976744804906,-0.0005683738227501534,0.003650604723084657,-0.0003412040514704549,-0.05303348155562705,-0.0011835162958918994,0.02100304743063482,0.0010891421334483147,-0.015411136078887054,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.16319999999999946,0,0
210,0.0005023085203994047,1.4968077406680578,3.07038198829456,0.09623426299320541,0.010530684555229854,0.0011473165306777906,0.995302343498563,0.0004988945103844248,0.003063161980236136,-0.0005623683999763592,0.0036570788627972024,-0.00033489805860308726,-0.0530361449526703,-0.0011866578228659583,0.02098618935252912,0.0010900390966049976,-0.01542363974803889,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.16879999999999942,0,0
217,0.0005012621124255688,1.4966598914379075,3.0704060406654436,0.09901376016674342,0.010527199013157884,0.001175556199133156,0.9950296837010455,0.0004998348418185823,0.0030555685103822593,-0.0005559062972712995,0.003659717901510849,-0.00032903290709164495,-0.05303806000383916,-0.0011890588856370943,0.02097453250677627,0.0010900762441907726,-0.015429346444099882,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1743999999999994,0,0
224,0.000500143331249663,1.4965114042603191,3.070430622048512,0.10179360406137106,0.010523101077301568,0.0012045200174872295,0.9947491521220017,0.0004969202677313324,0.0030531053395267023,-0.0005510107084926374,0.003660096628055718,-0.00032262294239613704,-0.05303874529366324,-0.0011918315137128687,0.02096484133903863,0.0010865809089412553,-0.015431710409438406,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.17999999999999935,0,0
231,0.0004989840663937114,1.4963624332275978,3.0704557562706363,0.10457380419960857,0.010518941789668779,0.001233972705272097,0.9944607325833486,0.000491367947750064,0.0030526958363664724,-0.0005476749119804223,0.003659582014832274,-0.00031527845734456093,-0.05303947234528463,-0.0011950468265682955,0.02095813157959087,0.001080640110028913,-0.015431366337409179,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.18559999999999932,0,0
238,0.0004981221328965027,1.4962128451313246,3.0704814076434843,0.10735423078719403,0.010514917802997948,0.0012636443959397514,0.9941644274658628,0.00048604971175489304,0.0030524066114832526,-0.0005445959434340113,0.003658691001286993,-0.00030755776305334216,-0.05304071143022537,-0.0011983365153391272,0.020954326670785183,0.0010745161116820412,-0.015428767058796889,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.1911999999999993,0,0
245,0.0004975564418154303,1.496062685926163,3.0705075718930206,0.11013445123781751,0.010510936624017081,0.0012935520495390245,0.9938602766913093,0.00048086536074668965,0.003052213079856151,-0.000541747590924818,0.0036575835466516873,-0.0002995196954968855,-0.05304222497894219,-0.001201848877203052,0.020952292511412892,0.0010681930090199118,-0.015424811359728946,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.19679999999999925,0,0
252,0.0004972857166211818,1.4959119796688216,3.0705342445915726,0.11291419299771352,0.010506939136492931,0.0013237047869606154,0.9935483063521844,0.00047575546463141024,0.003052098661007742,-0.0005391096113008105,0.003656351407841899,-0.000291200383300728,-0.05304387817106665,-0.001205673477291659,0.020951333718324472,0.0010616629641253502,-0.015420045579036942,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.20239999999999922,0,0
