index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos
496,-0.1063192981695695,0.2124747538998299,-0.33972925499034723,0.07906612432808424,-0.06916601548589213,0.47286827137464293,0.8748486773223688,1.331304379248314,0.1800079997164236
504,-0.05653447525102476,0.22820169189004852,-0.32945391067442326,0.07775956181097117,-0.08892249546796353,0.4643795197320436,0.8777231351628783,1.3288702794503808,0.17197945827214178
512,-0.01600151193291461,0.2430654849356855,-0.3252943875906068,0.07300150893166023,-0.10774780669306118,0.4521371148164433,0.882401960136081,1.342977822031349,0.16540359887197562
520,0.014058367563238826,0.2547304764175987,-0.32238285618157897,0.07046003844308614,-0.11946550973181404,0.43739107079207795,0.8885113539839973,1.358347773755434,0.15953365480940102
528,0.04517754074600816,0.26327348541590045,-0.3240230567630621,0.07148433045580513,-0.12632802354194525,0.42482221298688644,0.8935643839814764,1.3582481726203854,0.15953367456977874
536,0.06707336157655464,0.2778333632538811,-0.3216964755258281,0.07165330034917053,-0.1307875961283708,0.41277933490757623,0.8985397208366989,1.3619200804714684,0.15771801810965483
544,0.08819421996019695,0.29030901501369305,-0.32310173087200883,0.07145206758915025,-0.13312152454228127,0.4018499911893948,0.9031554939886363,1.361965600378542,0.15771862460766958
552,0.10935109405913394,0.2985989133137066,-0.3249121409082832,0.06787237377102842,-0.13413405949529683,0.3923707892321014,0.9074395620201798,1.3640858321822915,0.15775871199732272
560,0.1298775609928466,0.2998486060154517,-0.3238412007465944,0.06072645071630704,-0.13538491711864925,0.3836638857909965,0.9114742152907725,1.3681083024171243,0.1588756410923362
568,0.14742949214464665,0.29823670521124324,-0.3206924661070923,0.05751124389038973,-0.1371516782256591,0.37545745916883366,0.9148298040294429,1.3638007177356049,0.15843359788922917
576,0.15643361982954215,0.29888376646847337,-0.3145226313571969,0.059990469712000054,-0.13337554486981762,0.3720638713785781,0.9166136499033809,1.3454160552351841,0.15843246704702732
584,0.15942500275960908,0.299618363688218,-0.3118220265357359,0.0638613545594548,-0.12525495880698204,0.3717046598495545,0.9176429417448922,1.3220531815514742,0.15843203145983117
592,0.15882919007571272,0.2988829991956787,-0.3135747309861534,0.06797694822349899,-0.11541412752002324,0.3725547668147496,0.9182927961182202,1.297388106856172,0.15843205896573656
600,0.1559868403760679,0.29519612995615585,-0.3199116940887293,0.0717499318126508,-0.10742322640110898,0.37167568877165036,0.9193309415496551,1.275345995302811,0.15843194043705555
608,0.14927864816147104,0.2885890721505502,-0.32650567126604424,0.0729552674395087,-0.10257283950330619,0.36836792101706023,0.9211196536360667,1.261775015959783,0.1584316355608493
616,0.1402537227970524,0.2788697308885303,-0.3365802888210964,0.07329940831286258,-0.1000147743905791,0.36320503386140124,0.9234210009645244,1.2519890483584444,0.15843153741604107
624,0.12891964224321845,0.26610462505152815,-0.3430386982520952,0.06709669029854297,-0.100690868063385,0.35714349246978544,0.926179199197492,1.256592971125898,0.1585939348024783
632,0.12682799607702536,0.266286547581248,-0.34478594220017494,0.06637257720699108,-0.09961834990158212,0.35821075746640874,0.9259351589572186,1.253698403154259,0.15558487977769464
640,0.12506162407194676,0.2664358251969667,-0.34630238375303435,0.06662808635126193,-0.0964153068865633,0.35936320679875083,0.9258093066644215,1.2491482312469269,0.15560398055574295
648,0.12476876503735303,0.26639682612923915,-0.34633731946807855,0.0678753016671461,-0.09251900858011555,0.35990045472575954,0.9259075759292273,1.2410960138431641,0.15560453399317326
656,0.12476235867614528,0.266391634538659,-0.34645608266319744,0.06938193378753255,-0.08788914975994143,0.3603873000958691,0.9260575784193913,1.2315668244112703,0.1556047815214759
664,0.12503222563012023,0.26640824639305427,-0.346495327217645,0.06995655890634489,-0.08615300001775016,0.36044361593994306,0.9261555701835753,1.2261137382595628,0.1556043305116113
672,0.12520989317258904,0.2664121844030914,-0.3463917259332926,0.06954457888566057,-0.08746330839653299,0.36022038079717944,0.9261506348808946,1.2249542612182842,0.15560380088169046
680,0.12523401438173382,0.26641411214917243,-0.3463303095128657,0.06910498023112106,-0.08879653776828754,0.36006364483424913,0.9261176211779458,1.2271610808304834,0.15520464628573144
688,0.12528247520108776,0.266421147767363,-0.34627943337998457,0.0685412075798193,-0.09047144569961008,0.35985898191392646,0.926076958741764,1.2314933969921285,0.15520379016939065
696,0.12523421162683607,0.2664231708617643,-0.34627837137869405,0.06848254979133708,-0.09063656130677551,0.35985585089116773,0.9260663694940843,1.2324406451951695,0.15520497317275825
704,0.12523091321424779,0.2664261503636466,-0.3463132687330554,0.06879125360586888,-0.08967842172133156,0.3599547624138746,0.9260983279978834,1.231030938387939,0.15520560682864434
712,0.12521815028688338,0.2664266705689277,-0.3462761022634786,0.06861310206776566,-0.09024643971545228,0.3598948689056599,0.92607964326979,1.2312569754980722,0.15520787126464364
720,0.12520782576224856,0.26642675084318185,-0.34627839871663224,0.06867591624123333,-0.09005592166392262,0.3599159962970819,0.9260853228030166,1.2307311884208447,0.15520779247790703
728,0.1252003552541734,0.2664290890152217,-0.3462742317416395,0.06867384608635996,-0.09006818078982508,0.3599125056735441,0.9260856407118672,1.2306725893659092,0.15520839030249403
736,0.12519511831213329,0.26642976219869313,-0.3462727366161575,0.06867641852863063,-0.09006208509967621,0.359911193224373,0.9260865528434084,1.2305957154192384,0.155208558356526
744,0.1251921170416359,0.266431505966339,-0.34627054096626075,0.06865839457103891,-0.09011928744067568,0.35990245281961336,0.9260857213781769,1.2306596274772827,0.15520899687255327
752,0.12518780607796196,0.2664337399958947,-0.34626849375469776,0.06865295546266621,-0.09013907318508942,0.35989832567615565,0.9260858029184305,1.230685764056664,0.15520883298601398
760,0.12518156365048871,0.26643486455552917,-0.3462706750561249,0.06867601089371617,-0.09006963629534029,0.3599044367660716,0.9260884744674496,1.2305328409324368,0.15521001602748433
768,0.12517755825163698,0.26643409703291177,-0.3462696498715586,0.06867987089527729,-0.09005851572904684,0.3599037969380509,0.9260895183663743,1.2305016933659434,0.15521039594899463
776,0.12517405978121993,0.2664373103958658,-0.34626937936702745,0.06867612760970013,-0.09007312572180622,0.3598992570295347,0.926090139408054,1.2304988920337643,0.15521059207950585
784,0.12517018223820728,0.2664366296009516,-0.34626890038261643,0.06868309338644919,-0.09005210350885443,0.3598996026664527,0.9260915329150938,1.2304666908057238,0.15521096977499768
792,0.12516752793436178,0.26643866355853946,-0.3462683128270174,0.06867189607149415,-0.09008739335317388,0.35989303275135953,0.9260914842637337,1.2305346594958362,0.1552114026213839
800,0.125164450468304,0.2664415178081671,-0.34626840292089406,0.06866967015434775,-0.0900956882851469,0.3598891288157893,0.926092359494198,1.2305536012831264,0.1552118005575156
