index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
276,0.0004987425771436628,1.4953898387820572,3.0706290264111575,0.1224381566094656,0.010491807301788794,0.0014265742038590723,0.9924196615704765,0.0004707070605515183,0.0030563691815537085,-0.0005216318432724378,0.003649655207374518,-0.0002537974128411462,-0.05304587000535213,-0.0012158696699566204,0.020947454660929808,0.0010441946199740452,-0.01540189106148913,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2215999999999991,0,0
288,0.0005012620259619816,1.4951265372772278,3.0706765290352545,0.12719772098819104,0.010484091141256216,0.0014796726081109535,0.9918208679884312,0.00046784854909724845,0.003059114012150061,-0.0005138760270173428,0.0036483347776277123,-0.00023803089941259342,-0.05304585877966506,-0.0012224337292192301,0.020952817152706298,0.0010347020381297415,-0.015386570085861554,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.23119999999999905,0,0
300,0.0005060024677033924,1.4948607759068782,3.0707240916519387,0.13195444389280186,0.010475651885556953,0.0015335125212061283,0.9911992402104943,0.00047105258665877984,0.0030660158877049144,-0.000500744155749809,0.0036470947647566907,-0.00022801311108928675,-0.05304350192567943,-0.001224824847504194,0.020959209861596405,0.0010307308532565256,-0.015369225050609841,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.240799999999999,0,0
312,0.0005118662197047821,1.4945933026917786,3.0707725334163163,0.13670857973856412,0.010466937270676116,0.0015882537481603834,0.9905547359434852,0.0004745129244518756,0.003073902329509661,-0.00048734416892822174,0.003646255672028968,-0.00021774286604556378,-0.05304064585568866,-0.001227340187151268,0.020967426530155313,0.0010264379607988134,-0.015350427544546213,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.25039999999999896,0,0
324,0.0005187783410951143,1.4943241074877474,3.070822114113666,0.14145979428377606,0.010457898497392858,0.0016438233172495383,0.9898873960229576,0.0004782137720088931,0.0030822842924646755,-0.0004738494624812414,0.003645546210826606,-0.00020709677682916307,-0.05303755192337721,-0.0012300373281747719,0.02097651073680737,0.001021967909172364,-0.01533101432333602,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.25999999999999923,0,0
336,0.0005266225519721486,1.4940531558555556,3.0708729128150334,0.14620782201610813,0.010448472880155069,0.0016999678958147949,0.9891972565191091,0.00048283619145062987,0.0030910590062935965,-0.0004610785625538659,0.003644774652492033,-0.0001958795777148507,-0.05303415536077901,-0.0012324210466530653,0.02098582021072587,0.0010180973089946213,-0.015311379957053093,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2695999999999995,0,0
348,0.0005349913403497758,1.4937805243643647,3.0709249641222,0.15095250549492648,0.01043867472907744,0.0017563928186952321,0.9884843399057828,0.0004879235984677059,0.003100099320303513,-0.0004485925895710532,0.003643914684434847,-0.00018412830324199297,-0.05303051985888543,-0.0012341816165649668,0.02099517106382075,0.001015103559851146,-0.015291649073939,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2791999999999998,0,0
360,0.0005436794897541366,1.4935062143479605,3.070978266472611,0.15569371843832475,0.010428526278934659,0.0018129841900511765,0.9877486648772672,0.0004931940255175133,0.0031092888521754903,-0.0004363327185206558,0.0036430159350022443,-0.00017196272107079008,-0.053026740295183374,-0.0012355177586743356,0.021004515712087078,0.001012654444432874,-0.015271895278307874,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.28880000000000006,0,0
372,0.0005526085246354016,1.49323019343852,3.071032801492131,0.16043134284564872,0.010418035278025175,0.0018696877112394609,0.9869902497195958,0.0004985904576212175,0.0031185728710598597,-0.00042425785066630176,0.0036420901515359337,-0.00015946770500694597,-0.05302285811311817,-0.0012365311966707011,0.021013827227878767,0.0010106158046578571,-0.015252151515407746,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.29840000000000033,0,0
384,0.0005617509668649515,1.49295241926455,3.0710885441949887,0.16516526452552308,0.01040720355991794,0.001926481938855489,0.9862091128029672,0.0005040951416655336,0.0031279298538163516,-0.0004123537126005539,0.003641140636115853,-0.00014664713980277306,-0.0530188907397978,-0.001237273958563987,0.021023090515346857,0.0010089284042274025,-0.015232434752536824,0,0.0,1.0,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.3080000000000006,0,0
