frameID,vertex005fixed-x,vertex005fixed-y,vertex005fixed-z,vertex140-x,vertex140-y,vertex140-z,vertex145-x,vertex145-y,vertex145-z,vertex150-x,vertex150-y,vertex150-z,vertex160-x,vertex160-y,vertex160-z,vertex170-x,vertex170-y,vertex170-z,vertex180-x,vertex180-y,vertex180-z,vertex190fixed-x,vertex190fixed-y,vertex190fixed-z
15,0.49021193385124207,-0.6107674837112427,0.09024907648563385,0.7045210003852844,-0.4380679130554199,-0.006024862173944712,0.7073349356651306,-0.42270544171333313,-0.05596550181508064,0.7070723176002502,-0.40457573533058167,-0.10491972416639328,0.70448237657547,-0.3554533123970032,-0.19679060578346252,0.7031373381614685,-0.2957596480846405,-0.2829374670982361,0.6972397565841675,-0.24471555650234222,-0.3718827962875366,0.45511913299560547,-0.34116214513778687,-0.44028836488723755
16,0.4898923933506012,-0.610974907875061,0.09045176953077316,0.7116134166717529,-0.4312644898891449,0.0013116869376972318,0.7158237099647522,-0.41457825899124146,-0.04824500530958176,0.7169251441955566,-0.39605337381362915,-0.09721425175666809,0.7156819701194763,-0.35041573643684387,-0.19135616719722748,0.7146817445755005,-0.291935533285141,-0.277903288602829,0.6996043920516968,-0.2422505021095276,-0.36782369017601013,0.45523685216903687,-0.3408937156200409,-0.43981578946113586
17,0.4895135164260864,-0.6115362048149109,0.09067915380001068,0.7152320742607117,-0.4218921363353729,0.009149204008281231,0.7198581099510193,-0.4046522378921509,-0.040550485253334045,0.7230291962623596,-0.3863246440887451,-0.0899258404970169,0.7261659502983093,-0.3449137508869171,-0.18630029261112213,0.7216014266014099,-0.29189029335975647,-0.2759256064891815,0.7019860148429871,-0.24048276245594025,-0.3637270927429199,0.45514240860939026,-0.34155985713005066,-0.4405665695667267
18,0.48898473381996155,-0.6119545698165894,0.09021731466054916,0.7155014872550964,-0.41137006878852844,0.017924735322594643,0.7215953469276428,-0.3948005437850952,-0.03223319724202156,0.7266107201576233,-0.3776107728481293,-0.08210056275129318,0.7311729788780212,-0.3398066461086273,-0.18034037947654724,0.7238536477088928,-0.2916768491268158,-0.272453248500824,0.7050588130950928,-0.2377915382385254,-0.35912156105041504,0.4548778235912323,-0.34253814816474915,-0.44143587350845337
19,0.4882897436618805,-0.6124560832977295,0.09028397500514984,0.7155337333679199,-0.40232744812965393,0.028223272413015366,0.7208108305931091,-0.3863556385040283,-0.02246190793812275,0.7255822420120239,-0.3703320622444153,-0.07296844571828842,0.7286474108695984,-0.3351525366306305,-0.1724158376455307,0.7240020036697388,-0.28648579120635986,-0.2654027044773102,0.7083423733711243,-0.23461654782295227,-0.3544098138809204,0.4550549387931824,-0.3424319326877594,-0.4412270486354828
20,0.488180011510849,-0.6126132607460022,0.0902082622051239,0.7153471112251282,-0.3968496322631836,0.039723362773656845,0.7182368636131287,-0.3807801604270935,-0.011235237121582031,0.7196022272109985,-0.36455416679382324,-0.06209593638777733,0.7214360237121582,-0.3271462321281433,-0.16181159019470215,0.720977246761322,-0.27997708320617676,-0.2568516731262207,0.7117367386817932,-0.23167671263217926,-0.34961268305778503,0.45514342188835144,-0.34222182631492615,-0.44090956449508667
21,0.48837026953697205,-0.6123228073120117,0.08996476978063583,0.7121064066886902,-0.39266258478164673,0.05003195255994797,0.7124358415603638,-0.37590619921684265,-0.0009128147503361106,0.7124946713447571,-0.35746490955352783,-0.05120481178164482,0.7128369808197021,-0.31720685958862305,-0.15040120482444763,0.7167689204216003,-0.2737407982349396,-0.2477675974369049,0.7158727049827576,-0.22749315202236176,-0.34200868010520935,0.45513299107551575,-0.3422437906265259,-0.4410122036933899
22,0.48843592405319214,-0.6119924187660217,0.0900164544582367,0.706829309463501,-0.3855026364326477,0.06117847189307213,0.706353485584259,-0.36799296736717224,0.010471032932400703,0.706060528755188,-0.3493753671646118,-0.03980213403701782,0.7073469758033752,-0.31026366353034973,-0.13943716883659363,0.7132391333580017,-0.268062025308609,-0.23728571832180023,0.7190402150154114,-0.22380433976650238,-0.3324204981327057,0.45516273379325867,-0.3422872722148895,-0.44099393486976624
23,0.4884895086288452,-0.6118966937065125,0.09006555378437042,0.7047294974327087,-0.3752659857273102,0.07520066946744919,0.702637791633606,-0.35938385128974915,0.023740233853459358,0.7020156979560852,-0.3427085876464844,-0.02735942229628563,0.7049311995506287,-0.3060590922832489,-0.12791700661182404,0.7128533720970154,-0.26441049575805664,-0.22561444342136383,0.7199192643165588,-0.22082315385341644,-0.3207704722881317,0.4551173150539398,-0.34239715337753296,-0.44107508659362793
24,0.48838940262794495,-0.6118953824043274,0.09006798267364502,0.7070227265357971,-0.36776313185691833,0.09167591482400894,0.7047978639602661,-0.3522343933582306,0.04017917066812515,0.7032306790351868,-0.3368343412876129,-0.011298425495624542,0.7053477168083191,-0.3035042881965637,-0.11315764486789703,0.7132889032363892,-0.2635020613670349,-0.21164259314537048,0.71973717212677,-0.21865732967853546,-0.30719879269599915,0.4551531970500946,-0.34202277660369873,-0.4409242868423462
