index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
93,-0.06100544364126223,0.06437019925008586,1.5296400666558845,0.1384110069496878,0.654572728278332,0.1054809171840555,0.7356974328210238,0.005673615855335518,4.203970392533135e-05,0.0027816447553018456,0.003206302070351194,-0.006320478236617325,0.013001536635289352,-0.04578113653930476,-0.004253359553270562,-0.04886188942260783,-0.05035224964613297,0.0022498972452678783,-0.5,0.5,0,0.0,0.0,0.0,1.0,21.637529806063572,21.601024321788334,0.036505484275238816,5.690439536309292
96,-0.06560509557588878,0.07964894505105696,1.4722499494064094,0.15270379446477772,0.6479732473268836,0.1154760595904942,0.737209265789684,0.005756156227904402,4.4152308674054036e-05,0.0028140314389416524,0.0032141772920997323,-0.006602555721978834,0.013412855613106626,-0.04744930351696235,-0.004318840233038879,-0.05078830732130933,-0.05189955384052202,0.002412848743394464,-0.5,0.5,0,0.0,0.0,0.0,1.0,21.31120998686621,21.272090937346302,0.039119049519907634,7.005935565487878
99,-0.07008078506344853,0.09673355548993708,1.4140994683846724,0.16721096025181764,0.6410770669598117,0.12542280097680264,0.7384644947355314,0.005851751343043727,4.567196061763836e-05,0.002856528384891781,0.003253201014400191,-0.006815869311168799,0.013771300551809522,-0.04879074460856059,-0.004368383594401805,-0.052352749331728,-0.053202593776419976,0.002551565775199887,-0.5,0.5,0,0.0,0.0,0.0,1.0,20.975949672904,20.93461692633381,0.04133274657019046,6.8893176973456605
102,-0.0744381110784896,0.11566315633895247,1.3552284700867956,0.1819307573018761,0.6339243181414908,0.13531497059415815,0.7394126163039917,0.005971495515752892,4.6688681649394635e-05,0.0029145313882760686,0.003328022446095301,-0.006972857198016625,0.01409740294428518,-0.04988801073126783,-0.004405135884676747,-0.05365390044048884,-0.05431774251414996,0.002666832459917465,-0.5,0.5,0,0.0,0.0,0.0,1.0,20.631650317431408,20.588414928986477,0.04323538844493148,6.917322335724457
105,-0.07867798115219797,0.13646687578323755,1.295691418299747,0.19686381486039384,0.6265485314739373,0.1451594036399321,0.7400069754004786,0.006102837135829156,4.733152449580416e-05,0.0029807028525149467,0.0034238988352865937,-0.007086122758495081,0.014389496480814718,-0.050781519942560055,-0.004430701161056646,-0.054734096975193436,-0.055255851745395636,0.002758087827264609,-0.5,0.5,0,0.0,0.0,0.0,1.0,20.278179756808697,20.233328973150968,0.04485078365772958,7.280364875514898
108,-0.08280015328899205,0.15915291516608476,1.2355677569759342,0.21199297606503975,0.6189789164817413,0.15494973157931685,0.7402125773949499,0.006237037761986335,4.76717380969481e-05,0.003050031629631649,0.0035312934054651354,-0.007162358420340225,0.014644960924531858,-0.051489304469923336,-0.004446151166713217,-0.05560967209091754,-0.05602299117512201,0.0028262754293416834,-0.5,0.5,0,0.0,0.0,0.0,1.0,19.91537159558898,19.869189767412067,0.0461818281769109,7.875812660859324
111,-0.08680449504956528,0.18371103176692366,1.174949111928157,0.22728918257539213,0.6112465121978702,0.16467307970684886,0.7400000713716255,0.006368760578305007,4.774907210448752e-05,0.0031194726020158225,0.003644452329483546,-0.007205296951556048,0.014861812173053742,-0.05201995389372034,-0.004452992144037229,-0.056285532420764124,-0.056626352144388416,0.0028734054500462406,-0.5,0.5,0,0.0,0.0,0.0,1.0,19.543029619865184,19.49580395778173,0.04722566208345335,7.297717922024969
114,-0.09070928017642313,0.21010060728504615,1.1139340824012698,0.24269948479650139,0.6034919324549599,0.1743473172949834,0.7392546655201666,0.006467824761000383,4.7684827879825945e-05,0.003172365490131464,0.00373294630351804,-0.007222037489282612,0.015007209003404028,-0.052338119599369154,-0.004453950986116422,-0.056701782212593796,-0.05700639999899134,0.0028984026860495314,-0.5,0.5,0,0.0,0.0,0.0,1.0,19.160579174054618,19.112701439569104,0.047877734485513565,8.543728431384856
117,-0.09447595834407967,0.23830197735664965,1.0526168506964941,0.258213142759818,0.5954860863832584,0.18385115322703408,0.738187677550322,0.006620603512670743,4.717502317500411e-05,0.0032561168271619976,0.0038819628408761804,-0.0071983016474884,0.015180735877743365,-0.0525713871972916,-0.0044505533545348,-0.05704159107574397,-0.0573961757126483,0.0029184747943673244,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.768684729725745,18.72022514668541,0.048459583040334875,8.939274118558899
120,-0.10397551657181318,0.24399569046245798,1.0251019209807402,0.22835723630638588,0.6068733924563391,0.13931526887770754,0.7484309681009838,0.09186248409301642,-0.0012118173108091501,0.03772371535547091,0.02308682910238047,-0.0016633323433936113,0.02079448507485641,-0.050019231886760905,-0.004395199276998233,-0.056094269721372804,-0.06220469837029207,0.003493901303816664,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.504850773009657,18.402946360891505,0.10190441211815311,8.55319314367457
