index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,escape_energy_cost
248,-0.16792112993144426,-0.0036805336438366196,2.1021341697708897,0.21044359114735575,0.5190868646913529,0.8206307879766478,0.11325825212642122,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,9.30046717573734e-06,-0.22664422878585502,3.100392091819113e-09,7.251008186191161e-05,6.463329640080481e-07,-0.2266319953790682,7.282444093568408e-06,-5.931341577259122e-07,-2.4286694607589844e-05,-0.2230676153488958,-1.10710336872234e-06,-2.4453427202093357e-08,2.1021341697708897,0.15915093414857706
256,-0.16477893718289752,-0.0011482036724519838,2.102392703812772,0.21122384840091352,0.5220135783793954,0.8189445709810546,0.11052646522395934,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,9.35794644317723e-06,-0.21944193768814244,1.7489176583104848e-08,7.394539501326313e-05,2.3244277801523356e-06,-0.21943285288703804,1.2981943699253173e-05,-7.173248267431621e-07,-1.9355504421641782e-05,-0.21577238249554997,-1.0539805079943331e-06,-2.2709918550864453e-08,2.102392703812772,0.21295358610136317
264,-0.1622096335927486,0.0012428838067281883,2.102644368958707,0.21140044181524145,0.5249911962313693,0.8173865513250768,0.10757937903136638,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,8.547907494372242e-06,-0.2122404644380581,3.5390896720158996e-07,7.458606902055181e-05,4.1194959062762796e-06,-0.212233441532156,1.7335674019469685e-05,-6.920200845934393e-07,-1.578919284829428e-05,-0.20850654401639948,-6.941614611120009e-07,-1.4063878363405494e-08,2.102644368958707,0.09677970362699995
272,-0.15936082376257193,0.003936775603111538,2.1029843748758315,0.21175841247305685,0.5282191999019514,0.8156130972674962,0.10448984241329433,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,7.959324641035889e-06,-0.20504043600239397,9.965338946745049e-07,7.420793338581673e-05,4.856934927736918e-06,-0.20503378044414275,1.886199160378212e-05,-3.3982093704407053e-07,-1.4386362009090586e-05,-0.20128344340244878,-3.503488767951355e-07,-6.615699124741125e-09,2.1029843748758315,0.0987399600452612
280,-0.15617886799768424,0.006970177796715852,2.1033619835406094,0.2122649155533147,0.5317120246351147,0.8136184994381805,0.10124655972197183,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,6.694180355735744e-06,-0.19784026710624036,2.1291221468102558e-06,7.353532502736473e-05,6.515667423576388e-06,-0.19783438728226185,2.1660772544948995e-05,-5.155254966174891e-07,-1.2019200610084366e-05,-0.1940427069505988,-4.5619894046677343e-07,-8.624622419617379e-09,2.1033619835406094,0.20198419721058158
288,-0.15289833653117368,0.010339666095336634,2.1037092832326767,0.21275553892719407,0.535454720714742,0.811440645622889,0.09791527639345247,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,5.153340990798321e-06,-0.1906400598713924,3.4795283659953677e-06,7.272346907445755e-05,8.537209561832217e-06,-0.19063508731660292,2.5010425845725144e-05,-6.279362199232429e-07,-9.187829116577048e-06,-0.18679401195056614,-5.400128245927817e-07,-9.977484720828561e-09,2.1037092832326767,0.12332108858571056
296,-0.14957153807887982,0.014015266196987343,2.104006077912748,0.21317164631438382,0.5394457377776072,0.8090948893198312,0.09445424965409728,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,3.5091836828840573e-06,-0.18343984788265452,4.9075494031407885e-06,7.185375179709953e-05,1.0690585471276109e-05,-0.18343580440070914,2.8584011874832324e-05,-6.947598099605157e-07,-6.1780218779163105e-06,-0.1795423038289917,-5.856551299045036e-07,-1.0576278541939602e-08,2.104006077912748,0.16399513196938686
304,-0.14615771200516756,0.017949535697162757,2.1042391003012506,0.21344479292678686,0.5436790239590797,0.8065914230385283,0.09091048102405658,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,4.605782608044327e-06,-0.17624085507253268,6.077420716492862e-06,7.106409284292437e-05,1.2814913954363381e-05,-0.17623608336502455,3.1804228822351376e-05,-6.289782423957233e-07,-3.0556484015133152e-06,-0.1722984361965732,-5.242086529421769e-07,-3.226196706984699e-08,2.1042391003012506,0.19250754814243276
312,-0.1425697529923804,0.021724585289390783,2.104692434314442,0.21358483456539623,0.5478026377933513,0.8041243635131882,0.08762303621096802,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,3.0080610621420568e-06,-0.1690406741343808,7.513871015383962e-06,7.012369260512392e-05,1.4929574857549513e-05,-0.169036796030674,3.554262102154472e-05,-7.117639537868213e-07,6.431888179553991e-08,-0.165044134016419,-6.065330787563134e-07,-1.0416833673029902e-08,2.104692434314442,0.2826919073580072
320,-0.1390860184078929,0.02528089132300143,2.105404312061095,0.21377376275352497,0.5516711684488254,0.8017664620841546,0.08444075164021987,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,1.4070577827282281e-06,-0.16184049270134648,8.950155248652308e-06,6.916952643332009e-05,1.7043531672033465e-05,-0.1618374735291409,3.929164894552857e-05,-7.363896295250673e-07,3.1847198425646e-06,-0.15778993062575886,-6.206012055853589e-07,-6.1757234672129475e-09,2.105404312061095,0.07263041499592715
