index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
1450,-0.1615054260952128,0.48178882543591556,1.8922184992351205,0.3997034621704821,0.1906382039103047,-0.17263093480047037,0.8798254246659952,-0.29318076718190966,0.2332573298053761,-0.4550414354174488,0.22761503379542214,0.3749420010546936,0.08896048078998023,0.09249507913593248,0.46484300429554076,-0.06100169375087574,0.2982668758150182,0,-0.045100000000000265,1.0,0.12030787088649447,0.0,0.0,0.9927366298282534,1.0034533991626902,1.0034533991626902,0,0.1857883315166402
1500,-0.20890827045429677,0.45633049813705556,1.8781342133115893,0.40947422019257174,0.20007245127118486,-0.1278856613098111,0.8808786152878142,-0.3427425842287412,0.38636107846809753,-0.5000087364695364,0.32224775164380837,0.37876204719370177,0.18619574245733325,0.07442264742911521,0.5000067856958204,-0.05138547658216507,0.3431963505737797,0,-0.05010000000000041,1.0,0.15003136818590224,0.0,0.0,0.9886812370831493,0.987085559767183,0.987085559767183,0,0.19332847027704103
1550,-0.26461757592157875,0.4044900945373154,1.83809115988379,0.4111405276376773,0.19290091242073026,-0.0981623124711761,0.8855037351312377,-0.4276857673416124,0.5000687261326618,-0.50005494289027,0.3599118526568031,0.3795372725049755,0.3155361982775513,0.08230524591901048,0.5001363826565647,-0.047072146284937194,0.38986572275133546,0,-0.05510000000000055,1.0,0.17961984738075606,0.0,0.0,0.9837360979586517,0.9665219071952866,0.9665219071952866,0,0.21931100441630647
1600,-0.31525929739783254,0.3400677413439656,1.8582753757004893,0.43531128032815136,0.1843727328569319,-0.07099319128500595,0.8783340773242847,-0.5000548847243196,0.5000531987321678,-0.5001990731359246,0.34280175579566957,0.4006413248619208,0.36226192720854383,0.09267708628894959,0.5000698533850706,-0.021852294842630085,0.40832875148908604,0,-0.060100000000000695,1.0,0.20904668083694322,0.0,0.0,0.977905662746186,0.9777664132949037,0.9777664132949037,0,0.0
1650,-0.3410715654777055,0.24035964666373608,1.8172035588941526,0.4390747196968603,0.17594014864115531,-0.04865449916390784,0.879710858367885,-0.49894117355571704,0.5000031468011078,-0.499988364006701,0.3303886004050087,0.3818706059328421,0.4174315982777092,0.09402541959695668,0.5000033211039256,-0.01533694026926297,0.4052718472967855,0,-0.06510000000000084,1.0,0.23828538639060481,0.0,0.0,0.9711951784439008,0.9566246418601301,0.9566246418601301,0,0.13442719809347548
1700,-0.24635892796249356,0.13475523377787876,1.7239086425007872,0.44216673242287163,0.14412753850531818,-0.10126359847489295,0.8794666093757024,-0.4644766387044835,0.5000187835484445,-0.5000023055353082,0.2888053240204051,0.35310447064600153,0.5000003142515922,0.08374882515955859,0.5000219491836824,-0.01438140527091893,0.4676306423566981,0,-0.07010000000000098,1.0,0.26730965118029587,0.0,0.0,0.9636106840347239,0.9077911309682832,0.9077911309682832,0,0.27859597965348637
1750,-0.2515501950308498,-0.01696211440507196,1.6242538907089243,0.432893867767624,0.15105992992767386,-0.12230443004127432,0.8802416845456208,-0.49963014451759263,0.5000138977957892,-0.46318103878660793,0.2846377277736965,0.29376783007779705,0.5000029207186657,0.07521267577773824,0.5000107944415516,0.2049602991632391,0.47146365862665457,0,-0.07510000000000112,1.0,0.2960933553267849,0.0,0.0,0.9551590050516858,0.8552625199451555,0.8552625199451555,0,0.12765065255141284
1800,-0.32585702877092537,-0.14721020494535594,1.5220677986958924,0.39496744300466646,0.1738780515960246,-0.11156381450395994,0.8951651565118315,-0.5000350975366517,0.500038987386873,-0.46688773703809894,0.2858121123874462,0.1857214513265452,0.5000085072250208,0.19442579922812595,0.500053082804068,0.4783700514666899,0.4654483106342267,0,-0.08010000000000127,1.0,0.32461059543918164,0.0,0.0,0.9458477474353999,0.8010745895698735,0.8010745895698735,0,0.36708816880815365
1850,-0.3985475761073895,-0.31603796756727215,1.3753315651825395,0.340033200060559,0.2008966796895948,-0.08097327597758057,0.9151291032000517,-0.5001280988225966,0.5003626439250367,-0.35859997325870513,0.3071298289940175,0.04007024141175546,0.4982366261873785,0.1712582961417332,0.4893404570398461,0.5001841884558085,0.5001683024218212,0,-0.08510000000000141,1.0,0.3528357079262411,0.0,0.0,0.9356852906892297,0.7233791132411571,0.7233791132411571,0,0.2786721515817805
1900,-0.440155625147441,-0.4117330303340022,1.3299379213862683,0.3380163981206745,0.19893817304313435,-0.05196948156062473,0.9184049710743651,-0.5000460245486843,0.5000915474618114,-0.3362161640782593,0.29585100071467296,0.05077263895990074,0.5000052316882844,0.1775746409788435,0.5001573821044352,0.5000006945235872,0.4912493111409145,0,-0.09010000000000155,1.0,0.3807432920918627,0.0,0.0,0.9246807803383017,0.6998512945511777,0.6998512945511777,0,0.23252785975790335
1950,-0.4636828113943367,-0.508032004404584,1.2639236723453775,0.33805281809222837,0.18711319690514797,-0.013375479279173708,0.9222418556310977,-0.5000126389121008,0.5000122287306207,-0.3157572622002529,0.25661843686814056,0.06263382823261882,0.500002394353526,0.18878332905248518,0.5000249920672354,0.5000060265946584,0.47347984235378365,0,-0.0951000000000017,1.0,0.4083082329940028,0.0,0.0,0.9128441196991495,0.665742309964798,0.665742309964798,0,0.1350801323715901
2000,-0.46450576421747225,-0.6681736696226197,1.1020380357153492,0.2969255375675168,0.15596802242656052,0.04489622845492628,0.9410066576762952,-0.49998344158551367,0.500014407558821,-0.2181555758067526,0.2558424634414557,0.06603060638849134,0.5000772279479025,0.18817940844768016,0.5000667332494886,0.4941762193539098,0.38136476922016554,0,-0.10010000000000184,1.0,0.43550572404642734,0.0,0.0,0.9001859609673976,0.58103418978436,0.58103418978436,0,0.013658604178741762
2050,-0.4356911700083163,-0.8742798172644367,0.8924440820100444,0.248282357191306,0.10838297408903898,0.11104374285401437,0.9561790047936186,-0.4896301235491991,0.5002606407761937,-0.11271718109191829,0.2929660907059707,0.1562560942619559,0.5017942966910603,0.18763120670776792,0.49614974810579243,0.49828668316706093,0.501199694676272,0,-0.10510000000000198,1.0,0.4623112893429646,0.0,0.0,0.8867176956315047,0.4712205420236445,0.4712205420236445,0,0.16825914600227998
2100,-0.417456182238321,-0.8660531083741547,0.8311777225326998,0.2730800467549757,0.08331309244027597,0.1096386722879499,0.952084858734385,-0.4999166349928853,0.5004563499436032,-0.21883274207186032,0.260303278535669,0.5011612306453829,0.5002571488501428,0.1278149125099354,0.4325284602160183,0.4966722416346001,0.5001160090744257,0,-0.11010000000000213,1.0,0.48870080568416985,0.0,0.0,0.8724514442211918,0.4398469996441498,0.4398469996441498,0,0.1425193415836981
2150,-0.41489289353100833,-0.8600966267700214,0.7851341894556676,0.3008946092677903,0.08015225723953139,0.10998130525994891,0.943897326125204,-0.5001660587221876,0.5003482109643203,-0.22038371895186798,0.2614555777141478,0.5001026450060468,0.5001535212780893,0.12584781682436666,0.4313425078579088,0.5001954385329519,0.5001594012807118,0,-0.11510000000000227,1.0,0.5146505242865757,0.0,0.0,0.8574000453997846,0.41631194609265687,0.41631194609265687,0,0.16841259599419234
2200,-0.4148238218612228,-0.8508512598708902,0.7408209549863299,0.32906381966434095,0.07681373383962098,0.11230274222602282,0.9344542508705524,-0.5001618634594741,0.5003395080554802,-0.22107797472785223,0.26149600274224194,0.5001103181072392,0.5001553528743189,0.1252246752435674,0.43127978812726353,0.5001968270216219,0.500162689595112,0,-0.12000000000000241,1.0,0.5391268110454138,0.0,0.0,0.8422246028299119,0.3936835192701077,0.3936835192701077,0,0.05333057607092456
2250,-0.43227523294228287,-0.8575384983918075,0.7862556605261982,0.31017356796124385,0.0834718104886624,0.11316235904306537,0.9402228964919673,-0.5000636636164018,0.5001645217886456,-0.23799003258708645,0.25591861288659434,0.5000573837791396,0.5000294621775057,0.12494703967176402,0.4345209459318493,0.5000831915265318,0.5000545980416187,0,-0.12000000000000241,1.0,0.513621273930694,0.0,0.0,0.8580170085527506,0.417058450516666,0.417058450516666,0,0.0
