index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
128,-0.01019786085528399,0.05279761796404263,1.9993717876573132,0.292002449199271,0.5623772391289195,0.7726233265908214,0.03898212127494148,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.10319971466774412,-0.3466936895362632,0.10316186914210268,0.10328417608734451,0.10319946017166468,-0.3466883506865277,0.10317382924222558,0.10317929403637971,0.10327206288794144,-0.3444455809509513,0.10310537452841864,0.10309950854572518,1.9993717876573132,,,0.03640591937841009
136,-0.024897868318483656,0.046569272990866044,1.9981349819365484,0.28240942122085655,0.5558024176418959,0.7804186644214307,0.04770010033317247,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.10959955032192971,-0.3402899088727966,0.10956050869655451,0.10968745614670329,0.10959930192571647,-0.34028448541007544,0.10957293567047577,0.10957845148971185,0.10967510630625509,-0.3379490783304423,0.10950184516577663,0.10949456872413131,1.9981349819365484,,,0.05872481548724906
144,-0.03996583051247723,0.040127984498363654,1.9963408733117185,0.2725110052812536,0.5487602440763903,0.7882868161931493,0.05660249056259928,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.11599936749631881,-0.3338861288408572,0.11595914316752778,0.11609073984367886,0.11599912205850907,-0.3338806165819844,0.11597204112141037,0.11597759566319289,0.11607816451074252,-0.33145140007211565,0.1158983138436086,0.11588946356133564,1.9963408733117185,,,0.0
152,-0.05555041360627326,0.033413426900953995,1.9939049914143883,0.262193876192278,0.5411510402990918,0.796293217593468,0.06578019827517262,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.12239916619658657,-0.3274823557095279,0.12235777408158531,0.12249402187997631,0.1223989203404461,-0.3274767501995411,0.12237114638939228,0.1223767279243149,0.1224812322300817,-0.3249526834836321,0.12229478415239714,0.1222841994848288,1.9939049914143883,,,0.0
160,-0.07174536760158086,0.026391483354586975,1.9912090244424168,0.25127540116973907,0.5329389502860802,0.8044579930024973,0.07539287452638795,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.1287989383168709,-0.321078208981866,0.12875626338438392,0.12889766784546117,0.12879870995029605,-0.32107247646258874,0.12877014487037394,0.12877574264902653,0.1288847139598417,-0.3184408350520242,0.12869082311049188,0.1286781117747551,1.9912090244424168,,,0.04018248840829197
168,-0.08840528997334157,0.019585160888066475,1.9897176453228194,0.2395848665579249,0.524678001063363,0.8123893905296471,0.08564791340974649,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.13519877511324851,-0.31467500041221697,0.13515509167639111,0.13530054830739252,0.13519859554361324,-0.31466913284767045,0.13516934173114983,0.13517494155242923,0.1352875758568305,-0.31194996069323466,0.13508762794846493,0.13507307350238307,1.9897176453228194,,,0.0019852534707669456
176,-0.10569573120970432,0.013145361436656747,1.9873894121995677,0.22728201165073084,0.5162974433493013,0.8200568092260537,0.0963673534603687,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.14159860613348718,-0.30827187468451156,0.1415539439560428,0.14170335824991098,0.14159847403330986,-0.30826586835071085,0.14156855520347378,0.14157414826357306,0.1416903795326032,-0.3054601893119937,0.14148450277584546,0.14146800558859404,1.9873894121995677,,,0.0
184,-0.12376650384191756,0.007007662370227115,1.9841341609184053,0.21422599106600013,0.5076726173131113,0.8275184179340075,0.10765224736271337,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.14799842696225632,-0.30186874977346273,0.1479527894964918,0.14810617132344428,0.14799834206808316,-0.30186259714364944,0.14796776399776282,0.147973342417909,0.14809319751951888,-0.29896918341375833,0.14788136349215392,0.147862778568441,1.9841341609184053,,,0.0
192,-0.142657636764253,0.0010728255555228668,1.9798730097774646,0.2003799256803719,0.4986726634195204,0.8348127739197294,0.11941981679293055,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.15439830167691368,-0.2954660082476771,0.15435159624137237,0.15450843924788896,0.15439822576058657,-0.2954597959163858,0.15436641674311663,0.1543730015853069,0.15449038488315278,-0.29248886022689163,0.15427727532779412,0.15425850823981505,1.9798730097774646,,,0.0
200,-0.15008969763903007,-0.009554419810173796,1.9787470156896012,0.1946150633504571,0.4910222291752801,0.8409661134709627,0.11746549947273939,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.1607988233844144,-0.28906562720295215,0.16074877652442535,0.16090595840390612,0.1607982199201212,-0.2890607824985683,0.1607547309419366,0.16077972646575178,0.1608095568835304,-0.2860742390543533,0.16065584866294086,0.16066399619055213,1.9787470156896012,,,0.025568712764694412
