index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
252,-0.4854936839790193,0.1417783910679297,0.8330364448476042,0.14725944498065813,0.674244587173989,-0.1194297313556498,0.7137544618416637,0.46521602400217327,-0.005276009723318901,0.1902132738621997,0.08595169609993714,-0.006442685003504459,0.023908355705662535,-0.1486809557785461,-0.1026192327590126,-0.12140426993897102,-0.1612835294154755,0.011436118686140702,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.98795996534506,0.0
259,-0.4998429471293891,0.12153848249399239,0.8355285521400303,0.14045941762812908,0.6761354851285943,-0.13071873396403275,0.7113540400815388,0.4678449485202538,-0.0029819947881386884,0.19725935401956166,0.0946750587377522,-0.0037431212308400475,0.027138295307300588,-0.1464899983075086,-0.10259219378441904,-0.12005466905153585,-0.16547131253812006,0.012045820616014662,-0.5,0.5,0,0.0,0.0,0.0,1.0,9.522924045220876,0.0
266,-0.5124110612871816,0.1021144955617592,0.8373208821220942,0.13378813700582567,0.6800797590277097,-0.13850136673195296,0.7073963720367132,0.47011610518518626,-0.0009281061790331793,0.20343537211435647,0.10225239969661504,-0.0014108511882207461,0.029714231270528153,-0.1443491369817774,-0.10258117961866503,-0.11854529212733955,-0.1684609271547424,0.012469378721842178,-0.5,0.5,0,0.0,0.0,0.0,1.0,6.097386604166884,0.0
273,-0.5236724951681067,0.08198334503577612,0.8389204341405485,0.12602152527021784,0.6855338381746918,-0.1448402307457525,0.702270061617011,0.47226355438274475,0.0010627487376843555,0.2093542118829806,0.10954801800886567,0.0010005262558801672,0.03191582472522418,-0.14145346486340143,-0.1025690984021669,-0.11616236465134243,-0.16991325885851516,0.012606528646299823,-0.5,0.5,0,0.0,0.0,0.0,1.0,0.33960260440390116,5.067779561716046
280,-0.5328514507606785,0.062249268768428574,0.8411230282035417,0.11910058908817714,0.686556433639926,-0.15435551139231346,0.7004496335992278,0.47468795314582796,0.0033236753410296185,0.21603783489576037,0.11778458358914833,0.0037773450448051293,0.034340410181171434,-0.13790891531269456,-0.10255599915332654,-0.11316686766690433,-0.17150447724571496,0.012716700365111038,-0.5,0.5,0,0.0,0.0,0.0,1.0,-0.04945069555870582,5.309215304621439
287,-0.5407666827702771,0.04236181996474021,0.8434032469223712,0.11162479674803476,0.6874332876430529,-0.16393493035657844,0.6986420531289306,0.477097893529395,0.005605463408978598,0.22274468704054998,0.12608922803938252,0.006743076160089146,0.03658314305517117,-0.13337393765775674,-0.10254830873753684,-0.10911309361234112,-0.17199611478606067,0.012660985601385009,-0.5,0.5,0,0.0,0.0,0.0,1.0,0.5735485520649153,4.7885246900529115
294,-0.5476566213553118,0.022445052961515374,0.8458146487706943,0.10340966381335077,0.6882146043993457,-0.17384434843915153,0.6967390058244398,0.4795846579879381,0.008034593891459402,0.22977598212031192,0.13482671855371994,0.009945648753730803,0.03883470912454757,-0.1280812630885478,-0.1025405791605556,-0.10432600007271343,-0.1720626932831394,0.012650984096467033,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.091301846145734,4.515121696169334
301,-0.553749350630725,0.0025938139471010663,0.8483619017775874,0.09447513510398156,0.6888903068504983,-0.18415832560853415,0.6946871994527982,0.482132873410382,0.010638202702560908,0.2371457972353589,0.14402253617544894,0.013401611363485904,0.0410981594757124,-0.12199845617575815,-0.10253718605474167,-0.09874420869218517,-0.1719937679662587,0.012817205832649106,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.447204759272332,3.9724067071167495
308,-0.5592540972842761,-0.01710104095193273,0.8510423870769871,0.0848577609703585,0.6894443837526828,-0.19492834202240544,0.6924366711775,0.484721412879238,0.013437651021778031,0.24485064606712104,0.15367946614827013,0.017123621011177297,0.04337445850536413,-0.11511264609077292,-0.10254309969949431,-0.09232131750605443,-0.17198534864457973,0.013186290509743811,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.6855215264984735,3.7700242884746693
315,-0.5648430760776991,-0.036789287039896215,0.8541400585006377,0.0752596961354725,0.6879495576501445,-0.20797021731410958,0.691237855572804,0.4874128191555154,0.016477591896910355,0.2529987626331528,0.16387402958081235,0.020997279156703366,0.04573445166252671,-0.1079543259295103,-0.102549273074318,-0.08571323994613289,-0.17162419801052806,0.013502053521036646,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.6589380560928497,3.7915798731650066
