index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z
1040,-0.0030350205827535453,-0.39097165812719026,1.3346582503946078,-0.020074307708618382,-0.004879328269511563,-0.005698928440545865,0.999770341898722,0.5,-0.24590000000001144,2.8958999999997803,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1080,-0.003866516626185712,-0.39196258980072246,1.334738922553204,-0.01796365931853867,-0.006630843604251987,-0.00575949833079656,0.9998000635306846,0.5,-0.24190000000001188,2.891899999999772,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1120,-0.004256379224711443,-0.39242742173455725,1.3347741858448978,-0.016978008890727207,-0.007448695350513588,-0.0057941471397108205,0.9998113282067798,0.5,-0.23790000000001232,2.8878999999997634,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1160,-0.004226173219117275,-0.3923919674395036,1.334771225670794,-0.017062474740152638,-0.0073784682646001725,-0.005805183110895543,0.9998103470213033,0.5,-0.23390000000001276,2.883899999999755,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1200,-0.0037773299187877528,-0.39185805457233325,1.3347297284359951,-0.01821392008269105,-0.006422675252979685,-0.005793723847937547,0.9997966968948186,0.5,-0.2299000000000132,2.8798999999997466,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1240,-0.0028914555804218315,-0.3908039232496638,1.334641932396582,-0.020480159046838607,-0.004541392144094653,-0.005759772492520467,0.9997633539311411,0.5,-0.22590000000001365,2.875899999999738,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1280,-0.001529726509634727,-0.38918354126589044,1.334491239994699,-0.023961697803496003,-0.0016507518827499324,-0.005702230786838577,0.9996952518746146,0.5,-0.22190000000001409,2.8718999999997297,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1320,-0.0007994453907494746,-0.3877446671247515,1.3346920734564736,-0.02705649878179745,-0.00014552993253051,-0.005592145811709235,0.9996182534347449,0.5,-0.21790000000001453,2.8678999999997212,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1360,-0.0013206441325233965,-0.3889719600452282,1.3344695854601643,-0.02444507255315012,-0.0012468463882646173,-0.0055831187642494985,0.9996848066199764,0.5,-0.21390000000001497,2.863899999999713,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1400,-0.002274363488018248,-0.39010850572440364,1.3345781610251413,-0.022023983879488743,-0.0032567457243072137,-0.00565423911094426,0.9997361488520056,0.5,-0.2099000000000154,2.8598999999997043,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1440,-0.0027098224112036334,-0.39062780159891564,1.3346244515004917,-0.020923649980216116,-0.004170001627991025,-0.005694932357071989,0.9997561601227453,0.5,-0.20590000000001585,2.855899999999696,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1480,-0.0026511982089985784,-0.3905587820119542,1.334617890833004,-0.02108240645923147,-0.00403792211928714,-0.00570784603540844,0.9997532934761867,0.5,-0.2019000000000163,2.8518999999996875,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1520,-0.0020990729379508945,-0.38990231971788186,1.3345575672459065,-0.02249936837430725,-0.0028610965386751423,-0.005694244823226346,0.9997265466742628,0.5,-0.19790000000001673,2.847899999999679,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1560,-0.001030772600523909,-0.38863168053661296,1.334432161280808,-0.02523356377584611,-0.0005900712262722318,-0.005654115860598417,0.9996654190522712,0.5,-0.19390000000001717,2.8438999999996706,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1600,-0.0008033181713951741,-0.3882936121062304,1.3344619514889138,-0.025972347369845532,-0.00013904965959504729,-0.005580835681083897,0.999647073776737,0.5,-0.1899000000000176,2.839899999999662,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1640,-0.0016298087636585578,-0.389371312440993,1.3345054676698687,-0.02367869782858047,-0.0018793796571906732,-0.005623588975894641,0.9997020368331142,0.5,-0.18590000000001805,2.8358999999996537,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1680,-0.001983137243250916,-0.3897928540048808,1.3345453736670454,-0.022788441689714316,-0.0026183609358222497,-0.0056612504010538885,0.9997208517157481,0.5,-0.1819000000000185,2.8318999999996453,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1720,-0.001808210782316587,-0.38958556301025427,1.3345250816652254,-0.023244537599193864,-0.002239216017184096,-0.005669466759266545,0.999711225569711,0.5,-0.17790000000001893,2.827899999999637,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1760,-0.0011004650550281345,-0.3887441004523285,1.3344411236995144,-0.02505970512081484,-0.000731379480326931,-0.0056493304985786585,0.999669726123699,0.5,-0.17390000000001937,2.8238999999996284,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1800,-0.0008454133779572964,-0.38848268754396864,1.3344193527282802,-0.025635398146669597,-0.00020888089842794737,-0.005590682682557261,0.9996557042290986,0.5,-0.1699000000000198,2.81989999999962,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1840,-0.0013949687106906538,-0.38911381168744474,1.3344774321855106,-0.024295753121408133,-0.0013640518985507351,-0.005633255382233058,0.9996880124201151,0.5,-0.16590000000002025,2.8158999999996115,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1880,-0.0013690156422657169,-0.38908395124205836,1.3344738446828257,-0.02437272925978077,-0.0012996955700780002,-0.005650832304084812,0.9996861252183736,0.5,-0.1619000000000207,2.811899999999603,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1920,-0.0008029137539420775,-0.38840933222495944,1.3344408064825775,-0.025831335346802774,-9.186754822607271e-05,-0.005637916960221959,0.9996504126778042,0.5,-0.15790000000002113,2.8078999999995946,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
1960,-0.0010650084267993527,-0.3887347251984742,1.3344375083421185,-0.02514730901131725,-0.00065480185596353,-0.005627881873751112,0.9996677003032728,0.5,-0.15390000000002158,2.803899999999586,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2000,-0.001061277453364161,-0.38873134553726096,1.3344365000339855,-0.025168071808610106,-0.0006371605673543343,-0.005647390343958874,0.999667079166935,0.5,-0.14990000000002202,2.7998999999995777,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2040,-0.000886209443441223,-0.3885297198923363,1.3344152323670546,-0.02561246537510265,-0.0002669517783230836,-0.005635865193904282,0.9996560245292745,0.5,-0.14590000000002246,2.7958999999995693,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2080,-0.0008302346087472812,-0.38847599873128524,1.3344159593671463,-0.025740598367711864,-0.00013981585437606832,-0.00564991066565536,0.9996526799627304,0.5,-0.1419000000000229,2.791899999999561,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2120,-0.0008536168824741776,-0.38849543840311895,1.3344112767507275,-0.02570641842644108,-0.0001833823634714006,-0.005663514192202471,0.9996534754751709,0.5,-0.13790000000002334,2.7878999999995524,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2160,-0.0008613072639004076,-0.3885017553067936,1.3344111109161685,-0.025699188209077805,-0.00019443773710844464,-0.0056746932438714,0.9996535958900707,0.5,-0.13390000000002378,2.783899999999544,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2200,-0.0008659884170751896,-0.38850835942355005,1.3344111256382398,-0.02569631449268854,-0.00019624569237783096,-0.005691479944415678,0.999653573977087,0.5,-0.12990000000002422,2.7798999999995355,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2240,-0.000870357691484392,-0.3885143537868978,1.3344112669358987,-0.025694920234811815,-0.00019726473981409145,-0.0057085168602552345,0.9996535124711988,0.5,-0.12590000000002466,2.775899999999527,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2280,-0.0008729285425260608,-0.3885211227450349,1.3344110667095546,-0.0256915553874521,-0.00019472592104003968,-0.005725519882386196,0.9996535022124744,0.5,-0.12190000000002467,2.7718999999995186,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2320,-0.000874063021888609,-0.3885223130340376,1.334411134995201,-0.025688537442271047,-0.0001976303218425544,-0.005727002851024331,0.9996535707057107,0.5,-0.11790000000002455,2.76789999999951,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2360,-0.0008738581839497147,-0.38852211292113936,1.3344111254661797,-0.025688519983296465,-0.00019767499855121917,-0.005728352300697135,0.9996535634136368,0.5,-0.11390000000002444,2.7638999999995018,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2400,-0.0008736486793875052,-0.388521904706251,1.3344111148141329,-0.02568852010492927,-0.00019770956040702435,-0.0057297007385253545,0.9996535556757628,0.5,-0.10990000000002433,2.7598999999994933,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2440,-0.0008734391666405727,-0.3885216964599495,1.3344111041673603,-0.02568852030096104,-0.0001977440995657688,-0.00573104915869442,0.9996535479342625,0.5,-0.10590000000002421,2.755899999999485,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2480,-0.0008763044416285897,-0.3885235573140646,1.3344112238212895,-0.02569389675471496,-0.00019718241022810277,-0.0057450771117748736,0.9996533293485471,0.5,-0.1019000000000241,2.7518999999994764,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2520,-0.0008807453192813771,-0.3885296534065149,1.3344113487192126,-0.02569218191661424,-0.00019842649837748614,-0.005761965577376692,0.999653275975212,0.5,-0.09790000000002398,2.747899999999468,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2560,-0.0008849382576088858,-0.3885355736674772,1.3344114133480833,-0.02569095796221731,-0.00019906030074386084,-0.005779010880983891,0.9996532089115794,0.5,-0.09390000000002387,2.7438999999994595,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2600,-0.0008890585897854972,-0.38854143872929187,1.334411464406498,-0.025689909635104924,-0.00019949757570111374,-0.005796138032965368,0.9996531366066733,0.5,-0.08990000000002375,2.739899999999451,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2640,-0.0008931766831207195,-0.3885473017761193,1.3344115156672027,-0.025688864566394576,-0.00019993019402646391,-0.0058132640924018295,0.9996530639305813,0.5,-0.08590000000002364,2.7358999999994427,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2680,-0.0008972954429182154,-0.38855316562193903,1.3344115668441103,-0.025687816698166215,-0.00020036440708369403,-0.005830389031931718,0.9996529910379511,0.5,-0.08190000000002352,2.7318999999994342,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2720,-0.0009014142577434588,-0.3885590291700779,1.334411617995081,-0.02568676838302663,-0.00020079892309762373,-0.0058475128215637,0.9996529178688126,0.5,-0.07790000000002341,2.727899999999426,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2760,-0.0009055329601877699,-0.38856489213892564,1.334411669136173,-0.025685720227483385,-0.00020123338601754246,-0.005864635457619769,0.9996528444077319,0.5,-0.0739000000000233,2.7238999999994173,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2800,-0.0009096515400655915,-0.3885707545116931,1.334411720268389,-0.025684672268210213,-0.00020166777392236534,-0.005881756940574098,0.9996527706538284,0.5,-0.06990000000002318,2.719899999999409,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2840,-0.0009137700011726463,-0.3885766162948359,1.3344117713913721,-0.025683624491537174,-0.00020210209484687516,-0.005898877270777587,0.9996526966075094,0.5,-0.06590000000002307,2.7158999999994005,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2880,-0.0009178883446128782,-0.3885824774902885,1.3344118225050192,-0.02568257689346006,-0.00020253635115268718,-0.005915996448413139,0.9996526222689361,0.5,-0.06190000000002295,2.711899999999392,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2920,-0.0009220065704742065,-0.3885883380982894,1.3344118736093247,-0.025681529473618694,-0.00020297054304328345,-0.005933114473634413,0.9996525476381767,0.5,-0.057900000000022836,2.7078999999993836,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
2960,-0.0009261246787363518,-0.38859419811889906,1.3344119247042932,-0.025680482232039357,-0.00020340467049078943,-0.005950231346595055,0.9996524727152891,0.5,-0.05390000000002272,2.703899999999375,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3000,-0.0009302426693959018,-0.3886000575522022,1.3344119757899278,-0.025679435168696904,-0.00020383873350289544,-0.005967347067449776,0.9996523975003332,0.5,-0.04990000000002261,2.6998999999993667,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3040,-0.000934360542450023,-0.38860591639829034,1.3344120268662316,-0.02567838828355033,-0.00020427273208837915,-0.005984461636353347,0.9996523219933684,0.5,-0.04590000000002249,2.6958999999993583,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3080,-0.0009384782979020659,-0.38861177465725966,1.3344120779332072,-0.025677341576549807,-0.0002047066662692935,-0.006001575053460567,0.9996522461944553,0.5,-0.04190000000002238,2.69189999999935,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3120,-0.0009425959357514327,-0.3886176323292035,1.3344121289908573,-0.025676295047650736,-0.00020514053605921964,-0.006018687318926138,0.9996521701036534,0.5,-0.03790000000002226,2.6878999999993414,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3160,-0.0009467134559993248,-0.38862348941421726,1.3344121800391844,-0.025675248696804535,-0.00020557434147558957,-0.006035798432904701,0.9996520937210229,0.5,-0.03390000000002215,2.683899999999333,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3200,-0.00087970857798514,-0.38658674822196076,1.3343736418248056,-0.025973315466200998,-0.00013202934280698945,-0.005354055446099655,0.9996482899211232,0.5,-0.029900000000022083,2.6798999999993245,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
